"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
2,99;0,286;0,066;2,426;1500;0,001;3;10
2,992;0,296;0,068;2,424;1700;0,001;3;10
2,992;0,316;0,068;2,418;2000;0,001;3;10
2,992;0,368;0,07;2,412;3000;0,001;3;10
3;0,254;0,064;2,438;500;0,002;3;10
2,988;0,316;0,07;2,416;1000;0,002;3;10
2,994;0,368;0,068;2,412;1500;0,002;3;10
2,996;0,388;0,068;2,408;1700;0,002;3;10
3,004;0,412;0,068;2,408;2000;0,002;3;10
3,018;0,492;0,068;2,414;3000;0,002;3;10
2,992;0,336;0,066;2,412;500;0,005;3;10
3,006;0,454;0,068;2,406;1000;0,005;3;10
3,036;0,536;0,066;2,422;1500;0,005;3;10
3,042;0,564;0,064;2,426;1700;0,005;3;10
3,056;0,6;0,064;2,436;2000;0,005;3;10
3,104;0,694;0,056;2,486;3000;0,005;3;10
3,04;0,61;0,064;2,422;500;0,01;5;10
3,106;0,764;0,058;2,486;1000;0,01;5;10
3,166;0,846;0,052;2,544;1500;0,01;5;10
3,184;0,866;0,048;2,564;1700;0,01;5;10
3,206;0,894;0,048;2,584;2000;0,01;5;10
3,272;0,946;0,04;2,638;3000;0,01;5;10
3,124;0,76;0,054;2,498;500;0,02;5;10
3,216;0,894;0,04;2,592;1000;0,02;5;10
3,282;0,946;0,034;2,65;1500;0,02;5;10
3,302;0,958;0,03;2,666;1700;0,02;5;10
3,322;0,97;0,03;2,682;2000;0,02;5;10
3,376;0,99;0,026;2,72;3000;0,02;5;10
3,244;0,918;0,044;2,62;500;0,05;5;10
3,34;0,98;0,034;2,702;1000;0,05;5;10
3,378;0,99;0,034;2,722;1500;0,05;5;10
3,392;1;0,03;2,736;1700;0,05;5;10
3,402;1;0,028;2,742;2000;0,05;5;10
3,416;1;0,028;2,752;3000;0,05;5;10
3,014;0,326;0,066;2,462;500;0,001;5;10
2,994;0,372;0,07;2,428;1000;0,001;5;10
2,988;0,408;0,068;2,414;1500;0,001;5;10
2,99;0,422;0,068;2,412;1700;0,001;5;10
2,99;0,444;0,068;2,406;2000;0,001;5;10
3;0,51;0,068;2,404;3000;0,001;5;10
2,992;0,364;0,068;2,426;500;0,002;5;10
2,994;0,444;0,068;2,408;1000;0,002;5;10
3,008;0,51;0,068;2,402;1500;0,002;5;10
3,012;0,532;0,068;2,404;1700;0,002;5;10
3,022;0,568;0,068;2,406;2000;0,002;5;10
3,05;0,658;0,066;2,426;3000;0,002;5;10
2,996;0,474;0,07;2,4;500;0,005;5;10
3,04;0,616;0,066;2,424;1000;0,005;5;10
3,078;0,704;0,06;2,456;1500;0,005;5;10
3,092;0,732;0,058;2,472;1700;0,005;5;10
3,11;0,766;0,058;2,488;2000;0,005;5;10
3,174;0,846;0,048;2,55;3000;0,005;5;10
3,048;0,664;0,066;2,43;500;0,01;6;10
3,118;0,812;0,054;2,504;1000;0,01;6;10
3,18;0,886;0,052;2,564;1500;0,01;6;10
3,198;0,906;0,048;2,58;1700;0,01;6;10
3,218;0,926;0,046;2,6;2000;0,01;6;10
3,28;0,966;0,04;2,65;3000;0,01;6;10
3,132;0,812;0,056;2,502;500;0,02;6;10
3,226;0,926;0,044;2,59;1000;0,02;6;10
3,292;0,966;0,034;2,64;1500;0,02;6;10
3,312;0,97;0,036;2,654;1700;0,02;6;10
3,322;0,98;0,036;2,664;2000;0,02;6;10
3,368;0,992;0,03;2,698;3000;0,02;6;10
3,25;0,946;0,04;2,628;500;0,05;6;10
3,326;0,99;0,034;2,696;1000;0,05;6;10
3,352;1;0,034;2,714;1500;0,05;6;10
3,356;1;0,032;2,714;1700;0,05;6;10
3,364;1;0,032;2,722;2000;0,05;6;10
3,374;1;0,03;2,732;3000;0,05;6;10
3,012;0,366;0,066;2,462;500;0,001;6;10
2,992;0,416;0,07;2,426;1000;0,001;6;10
2,992;0,458;0,066;2,416;1500;0,001;6;10
2,99;0,472;0,07;2,41;1700;0,001;6;10
2,99;0,492;0,07;2,406;2000;0,001;6;10
3,006;0,566;0,068;2,404;3000;0,001;6;10
2,99;0,414;0,07;2,424;500;0,002;6;10
2,996;0,494;0,068;2,406;1000;0,002;6;10
3,012;0,564;0,066;2,406;1500;0,002;6;10
3,018;0,59;0,066;2,408;1700;0,002;6;10
3,026;0,622;0,068;2,41;2000;0,002;6;10
3,06;0,71;0,062;2,44;3000;0,002;6;10
2,998;0,53;0,072;2,398;500;0,005;6;10
3,046;0,67;0,062;2,428;1000;0,005;6;10
3,09;0,756;0,056;2,468;1500;0,005;6;10
3,104;0,782;0,058;2,48;1700;0,005;6;10
3,124;0,816;0,054;2,504;2000;0,005;6;10
3,188;0,886;0,046;2,566;3000;0,005;6;10
3,062;0,746;0,062;2,436;500;0,01;8;10
3,142;0,876;0,052;2,51;1000;0,01;8;10
3,196;0,93;0,046;2,564;1500;0,01;8;10
3,212;0,946;0,046;2,58;1700;0,01;8;10
3,238;0,96;0,044;2,602;2000;0,01;8;10
3,294;0,982;0,036;2,646;3000;0,01;8;10
3,144;0,87;0,056;2,51;500;0,02;8;10
3,234;0,96;0,044;2,596;1000;0,02;8;10
3,284;0,982;0,038;2,63;1500;0,02;8;10
3,298;0,99;0,036;2,638;1700;0,02;8;10
3,31;0,99;0,036;2,65;2000;0,02;8;10
3,336;1;0,036;2,666;3000;0,02;8;10
3,256;0,97;0,044;2,608;500;0,05;8;10
3,324;1;0,038;2,662;1000;0,05;8;10
3,346;1;0,036;2,68;1500;0,05;8;10
3,352;1;0,034;2,682;1700;0,05;8;10
3,352;1;0,034;2,684;2000;0,05;8;10
3,354;1;0,034;2,688;3000;0,05;8;10
3,012;0,434;0,068;2,46;500;0,001;8;10
2,992;0,484;0,072;2,422;1000;0,001;8;10
2,99;0,532;0,07;2,41;1500;0,001;8;10
2,992;0,546;0,068;2,406;1700;0,001;8;10
2,996;0,574;0,07;2,402;2000;0,001;8;10
3,014;0,646;0,066;2,404;3000;0,001;8;10
2,99;0,482;0,074;2,424;500;0,002;8;10
2,992;0,572;0,07;2,4;1000;0,002;8;10
3,016;0,646;0,068;2,406;1500;0,002;8;10
3,024;0,666;0,066;2,408;1700;0,002;8;10
3,04;0,702;0,064;2,418;2000;0,002;8;10
3,078;0,784;0,064;2,456;3000;0,002;8;10
3,004;0,608;0,072;2,392;500;0,005;8;10
3,054;0,748;0,064;2,432;1000;0,005;8;10
3,11;0,826;0,058;2,476;1500;0,005;8;10
3,12;0,85;0,058;2,492;1700;0,005;8;10
3,144;0,874;0,054;2,514;2000;0,005;8;10
3,208;0,93;0,044;2,572;3000;0,005;8;10
3,052;0,334;0,044;2,44;500;0,01;3;30
3,1;0,468;0,042;2,472;1000;0,01;3;30
3,154;0,55;0,036;2,496;1500;0,01;3;30
3,164;0,574;0,036;2,504;1700;0,01;3;30
3,176;0,614;0,034;2,508;2000;0,01;3;30
3,232;0,702;0,034;2,552;3000;0,01;3;30
3,094;0,456;0,044;2,46;500;0,02;3;30
3,174;0,608;0,036;2,526;1000;0,02;3;30
3,25;0,7;0,03;2,566;1500;0,02;3;30
3,266;0,724;0,03;2,576;1700;0,02;3;30
3,286;0,76;0,028;2,588;2000;0,02;3;30
3,368;0,838;0,024;2,644;3000;0,02;3;30
3,224;0,652;0,03;2,546;500;0,05;3;30
3,344;0,798;0,022;2,636;1000;0,05;3;30
3,42;0,87;0,026;2,676;1500;0,05;3;30
3,446;0,888;0,024;2,704;1700;0,05;3;30
3,472;0,914;0,022;2,72;2000;0,05;3;30
3,556;0,956;0,02;2,79;3000;0,05;3;30
3,036;0,164;0,046;2,488;500;0,001;3;30
3,02;0,188;0,05;2,462;1000;0,001;3;30
3,014;0,206;0,05;2,45;1500;0,001;3;30
3,014;0,216;0,05;2,448;1700;0,001;3;30
3,016;0,228;0,048;2,444;2000;0,001;3;30
3,026;0,27;0,05;2,442;3000;0,001;3;30
3,02;0,184;0,048;2,464;500;0,002;3;30
3,014;0,228;0,052;2,442;1000;0,002;3;30
3,024;0,268;0,05;2,438;1500;0,002;3;30
3,026;0,28;0,05;2,438;1700;0,002;3;30
3,034;0,302;0,046;2,436;2000;0,002;3;30
3,054;0,368;0,048;2,438;3000;0,002;3;30
3,02;0,246;0,046;2,442;500;0,005;3;30
3,048;0,336;0,046;2,444;1000;0,005;3;30
3,076;0,406;0,042;2,456;1500;0,005;3;30
3,086;0,426;0,044;2,458;1700;0,005;3;30
3,096;0,462;0,042;2,462;2000;0,005;3;30
3,136;0,55;0,04;2,488;3000;0,005;3;30
3,054;0,34;0,044;2,444;500;0,01;5;30
3,104;0,476;0,042;2,472;1000;0,01;5;30
3,154;0,562;0,036;2,5;1500;0,01;5;30
3,168;0,586;0,034;2,506;1700;0,01;5;30
3,18;0,624;0,034;2,51;2000;0,01;5;30
3,238;0,71;0,03;2,55;3000;0,01;5;30
3,096;0,466;0,044;2,466;500;0,02;5;30
3,172;0,618;0,036;2,522;1000;0,02;5;30
3,254;0,708;0,03;2,566;1500;0,02;5;30
3,272;0,734;0,03;2,58;1700;0,02;5;30
3,298;0,768;0,03;2,594;2000;0,02;5;30
3,366;0,848;0,024;2,638;3000;0,02;5;30
3,198;0,666;0,038;2,532;500;0,05;5;30
3,33;0,808;0,022;2,632;1000;0,05;5;30
3,416;0,878;0,022;2,688;1500;0,05;5;30
3,438;0,898;0,022;2,706;1700;0,05;5;30
3,466;0,92;0,02;2,726;2000;0,05;5;30
3,55;0,962;0,02;2,792;3000;0,05;5;30
3,036;0,17;0,046;2,488;500;0,001;5;30
3,02;0,194;0,05;2,462;1000;0,001;5;30
3,014;0,216;0,05;2,45;1500;0,001;5;30
3,014;0,222;0,05;2,45;1700;0,001;5;30
3,016;0,234;0,048;2,444;2000;0,001;5;30
3,026;0,274;0,05;2,442;3000;0,001;5;30
3,02;0,19;0,05;2,462;500;0,002;5;30
3,012;0,232;0,052;2,442;1000;0,002;5;30
3,026;0,272;0,05;2,44;1500;0,002;5;30
3,028;0,286;0,048;2,438;1700;0,002;5;30
3,034;0,308;0,046;2,434;2000;0,002;5;30
3,058;0,374;0,048;2,44;3000;0,002;5;30
3,02;0,248;0,046;2,442;500;0,005;5;30
3,05;0,34;0,044;2,446;1000;0,005;5;30
3,078;0,416;0,042;2,458;1500;0,005;5;30
3,086;0,436;0,044;2,46;1700;0,005;5;30
3,098;0,472;0,042;2,464;2000;0,005;5;30
3,138;0,56;0,04;2,486;3000;0,005;5;30
3,054;0,34;0,044;2,444;500;0,01;6;30
3,104;0,476;0,042;2,472;1000;0,01;6;30
3,154;0,562;0,036;2,5;1500;0,01;6;30
3,168;0,586;0,034;2,506;1700;0,01;6;30
3,18;0,624;0,034;2,51;2000;0,01;6;30
3,238;0,71;0,03;2,55;3000;0,01;6;30
3,096;0,466;0,044;2,466;500;0,02;6;30
3,172;0,618;0,036;2,522;1000;0,02;6;30
3,254;0,708;0,03;2,566;1500;0,02;6;30
3,272;0,734;0,03;2,58;1700;0,02;6;30
3,298;0,768;0,03;2,594;2000;0,02;6;30
3,366;0,848;0,024;2,638;3000;0,02;6;30
