"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"n.trees";"shrinkage";"interaction.depth";"n.minobsinnode"
1,128;1;0,104;0,87;2000;0,05;6;5
1,13;1;0,104;0,872;3000;0,05;6;5
1,09;0,452;0,09;0,844;500;0,001;6;5
1,08;0,498;0,094;0,834;1000;0,001;6;5
1,078;0,536;0,098;0,83;1500;0,001;6;5
1,076;0,554;0,102;0,828;1700;0,001;6;5
1,074;0,574;0,102;0,826;2000;0,001;6;5
1,072;0,636;0,106;0,822;3000;0,001;6;5
1,082;0,492;0,094;0,834;500;0,002;6;5
1,076;0,572;0,1;0,83;1000;0,002;6;5
1,076;0,636;0,102;0,824;1500;0,002;6;5
1,076;0,66;0,106;0,822;1700;0,002;6;5
1,078;0,692;0,108;0,824;2000;0,002;6;5
1,084;0,774;0,108;0,826;3000;0,002;6;5
1,076;0,604;0,104;0,824;500;0,005;6;5
1,082;0,734;0,112;0,824;1000;0,005;6;5
1,096;0,816;0,104;0,83;1500;0,005;6;5
1,098;0,836;0,102;0,832;1700;0,005;6;5
1,1;0,866;0,104;0,836;2000;0,005;6;5
1,108;0,922;0,104;0,84;3000;0,005;6;5
1,08;0,804;0,114;0,82;500;0,01;8;5
1,092;0,918;0,11;0,834;1000;0,01;8;5
1,102;0,96;0,11;0,842;1500;0,01;8;5
1,104;0,97;0,112;0,844;1700;0,01;8;5
1,106;0,98;0,114;0,844;2000;0,01;8;5
1,108;0,99;0,114;0,85;3000;0,01;8;5
1,086;0,916;0,12;0,828;500;0,02;8;5
1,102;0,98;0,116;0,842;1000;0,02;8;5
1,108;0,99;0,114;0,85;1500;0,02;8;5
1,11;1;0,112;0,856;1700;0,02;8;5
1,11;1;0,112;0,856;2000;0,02;8;5
1,112;1;0,112;0,856;3000;0,02;8;5
1,12;0,99;0,104;0,866;500;0,05;8;5
1,124;1;0,106;0,872;1000;0,05;8;5
1,126;1;0,102;0,876;1500;0,05;8;5
1,126;1;0,102;0,876;1700;0,05;8;5
1,126;1;0,102;0,876;2000;0,05;8;5
1,126;1;0,102;0,876;3000;0,05;8;5
1,088;0,526;0,098;0,84;500;0,001;8;5
1,078;0,576;0,102;0,832;1000;0,001;8;5
1,072;0,616;0,104;0,824;1500;0,001;8;5
1,07;0,632;0,11;0,822;1700;0,001;8;5
1,07;0,652;0,108;0,822;2000;0,001;8;5
1,07;0,718;0,114;0,818;3000;0,001;8;5
1,076;0,57;0,104;0,832;500;0,002;8;5
1,07;0,65;0,112;0,822;1000;0,002;8;5
1,072;0,716;0,11;0,822;1500;0,002;8;5
1,074;0,736;0,11;0,82;1700;0,002;8;5
1,078;0,768;0,112;0,82;2000;0,002;8;5
1,084;0,84;0,112;0,822;3000;0,002;8;5
1,07;0,682;0,114;0,818;500;0,005;8;5
1,08;0,808;0,116;0,82;1000;0,005;8;5
1,092;0,878;0,112;0,826;1500;0,005;8;5
1,092;0,896;0,11;0,83;1700;0,005;8;5
1,098;0,922;0,11;0,832;2000;0,005;8;5
1,104;0,96;0,112;0,838;3000;0,005;8;5
1,078;0,486;0,104;0,83;500;0,01;3;10
1,088;0,632;0,106;0,828;1000;0,01;3;10
1,098;0,72;0,1;0,836;1500;0,01;3;10
1,1;0,748;0,1;0,838;1700;0,01;3;10
1,104;0,782;0,098;0,842;2000;0,01;3;10
1,114;0,858;0,098;0,852;3000;0,01;3;10
1,082;0,628;0,108;0,83;500;0,02;3;10
1,098;0,778;0,106;0,838;1000;0,02;3;10
1,108;0,856;0,1;0,846;1500;0,02;3;10
1,114;0,876;0,102;0,852;1700;0,02;3;10
1,118;0,898;0,1;0,858;2000;0,02;3;10
1,13;0,948;0,098;0,87;3000;0,02;3;10
1,102;0,81;0,11;0,848;500;0,05;3;10
1,124;0,922;0,104;0,868;1000;0,05;3;10
1,128;0,964;0,106;0,876;1500;0,05;3;10
1,128;0,97;0,106;0,876;1700;0,05;3;10
1,13;0,98;0,108;0,882;2000;0,05;3;10
1,14;0,992;0,102;0,894;3000;0,05;3;10
1,096;0,272;0,07;0,852;500;0,001;3;10
1,09;0,302;0,076;0,842;1000;0,001;3;10
1,084;0,33;0,084;0,842;1500;0,001;3;10
1,084;0,34;0,084;0,838;1700;0,001;3;10
1,084;0,356;0,086;0,838;2000;0,001;3;10
1,08;0,404;0,094;0,834;3000;0,001;3;10
1,088;0,3;0,078;0,842;500;0,002;3;10
1,084;0,356;0,088;0,838;1000;0,002;3;10
1,08;0,402;0,096;0,832;1500;0,002;3;10
1,08;0,422;0,096;0,832;1700;0,002;3;10
1,078;0,452;0,1;0,828;2000;0,002;3;10
1,08;0,526;0,108;0,826;3000;0,002;3;10
1,08;0,382;0,094;0,834;500;0,005;3;10
1,082;0,492;0,106;0,828;1000;0,005;3;10
1,086;0,57;0,104;0,83;1500;0,005;3;10
1,088;0,594;0,102;0,83;1700;0,005;3;10
1,09;0,634;0,104;0,83;2000;0,005;3;10
1,096;0,72;0,102;0,836;3000;0,005;3;10
1,078;0,642;0,108;0,82;500;0,01;5;10
1,09;0,788;0,11;0,826;1000;0,01;5;10
1,096;0,864;0,106;0,834;1500;0,01;5;10
1,1;0,882;0,108;0,838;1700;0,01;5;10
1,102;0,906;0,106;0,844;2000;0,01;5;10
1,11;0,952;0,108;0,852;3000;0,01;5;10
1,092;0,784;0,112;0,834;500;0,02;5;10
1,106;0,902;0,106;0,848;1000;0,02;5;10
1,114;0,952;0,106;0,858;1500;0,02;5;10
1,118;0,962;0,108;0,86;1700;0,02;5;10
1,12;0,972;0,106;0,862;2000;0,02;5;10
1,126;0,99;0,104;0,874;3000;0,02;5;10
1,108;0,926;0,11;0,858;500;0,05;5;10
1,124;0,982;0,108;0,876;1000;0,05;5;10
1,126;0,994;0,11;0,876;1500;0,05;5;10
1,126;1;0,11;0,88;1700;0,05;5;10
1,128;1;0,112;0,882;2000;0,05;5;10
1,13;1;0,112;0,886;3000;0,05;5;10
1,094;0,366;0,084;0,846;500;0,001;5;10
1,084;0,41;0,09;0,838;1000;0,001;5;10
1,078;0,446;0,096;0,83;1500;0,001;5;10
1,08;0,462;0,096;0,83;1700;0,001;5;10
1,08;0,482;0,098;0,83;2000;0,001;5;10
1,078;0,544;0,106;0,828;3000;0,001;5;10
1,084;0,406;0,09;0,836;500;0,002;5;10
1,078;0,48;0,098;0,83;1000;0,002;5;10
1,078;0,542;0,102;0,826;1500;0,002;5;10
1,082;0,568;0,102;0,826;1700;0,002;5;10
1,082;0,598;0,104;0,824;2000;0,002;5;10
1,084;0,682;0,104;0,826;3000;0,002;5;10
1,078;0,512;0,1;0,828;500;0,005;5;10
1,084;0,638;0,106;0,826;1000;0,005;5;10
1,092;0,73;0,104;0,83;1500;0,005;5;10
1,094;0,756;0,104;0,83;1700;0,005;5;10
1,094;0,786;0,104;0,83;2000;0,005;5;10
1,102;0,862;0,106;0,84;3000;0,005;5;10
1,076;0,696;0,116;0,822;500;0,01;6;10
1,088;0,834;0,112;0,832;1000;0,01;6;10
1,098;0,9;0,108;0,846;1500;0,01;6;10
1,102;0,914;0,11;0,844;1700;0,01;6;10
1,104;0,934;0,112;0,844;2000;0,01;6;10
1,11;0,97;0,112;0,856;3000;0,01;6;10
1,092;0,828;0,112;0,834;500;0,02;6;10
1,104;0,932;0,114;0,846;1000;0,02;6;10
1,11;0,97;0,114;0,856;1500;0,02;6;10
1,112;0,98;0,116;0,858;1700;0,02;6;10
1,114;0,982;0,112;0,858;2000;0,02;6;10
1,12;1;0,114;0,866;3000;0,02;6;10
1,116;0,952;0,108;0,866;500;0,05;6;10
1,12;0,99;0,108;0,868;1000;0,05;6;10
1,126;1;0,108;0,878;1500;0,05;6;10
1,128;1;0,11;0,88;1700;0,05;6;10
1,128;1;0,11;0,88;2000;0,05;6;10
1,13;1;0,106;0,882;3000;0,05;6;10
1,092;0,406;0,09;0,842;500;0,001;6;10
1,082;0,454;0,096;0,832;1000;0,001;6;10
1,076;0,496;0,104;0,828;1500;0,001;6;10
1,074;0,508;0,104;0,828;1700;0,001;6;10
1,074;0,53;0,104;0,826;2000;0,001;6;10
1,076;0,596;0,108;0,822;3000;0,001;6;10
1,082;0,448;0,098;0,832;500;0,002;6;10
1,076;0,528;0,102;0,828;1000;0,002;6;10
1,078;0,594;0,104;0,824;1500;0,002;6;10
1,08;0,616;0,104;0,826;1700;0,002;6;10
1,08;0,648;0,11;0,822;2000;0,002;6;10
1,086;0,734;0,108;0,824;3000;0,002;6;10
1,076;0,56;0,104;0,826;500;0,005;6;10
