"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
1,04;0,89;0,166;0,796;1000;2;70
1,04;0,892;0,17;0,796;1300;2;70
1,04;0,892;0,168;0,796;1500;2;70
1,04;0,892;0,168;0,796;1700;2;70
1,042;0,892;0,17;0,796;2000;2;70
1,048;0,882;0,15;0,8;100;3;70
1,04;0,888;0,162;0,798;300;3;70
1,042;0,894;0,158;0,798;500;3;70
1,044;0,896;0,154;0,798;700;3;70
1,044;0,896;0,156;0,798;900;3;70
1,042;0,894;0,156;0,8;1000;3;70
1,046;0,894;0,154;0,802;1300;3;70
1,046;0,896;0,152;0,804;1500;3;70
1,044;0,896;0,152;0,804;1700;3;70
1,044;0,896;0,152;0,802;2000;3;70
1,054;0,886;0,142;0,804;100;4;70
1,048;0,894;0,152;0,802;300;4;70
1,044;0,896;0,156;0,796;500;4;70
1,042;0,896;0,16;0,798;700;4;70
1,042;0,898;0,162;0,796;900;4;70
1,042;0,9;0,16;0,796;1000;4;70
1,042;0,9;0,16;0,798;1300;4;70
1,042;0,9;0,158;0,798;1500;4;70
1,042;0,9;0,158;0,798;1700;4;70
1,042;0,9;0,158;0,798;2000;4;70
1,044;0,89;0,15;0,798;100;5;70
1,042;0,9;0,158;0,796;300;5;70
1,042;0,9;0,154;0,8;500;5;70
1,042;0,902;0,156;0,798;700;5;70
1,044;0,9;0,154;0,8;900;5;70
1,044;0,902;0,154;0,798;1000;5;70
1,044;0,9;0,154;0,8;1300;5;70
1,044;0,902;0,152;0,8;1500;5;70
1,044;0,902;0,152;0,8;1700;5;70
1,044;0,902;0,154;0,8;2000;5;70
1,05;0,892;0,142;0,798;100;6;70
1,046;0,902;0,144;0,8;300;6;70
1,048;0,902;0,148;0,8;500;6;70
1,048;0,904;0,15;0,798;700;6;70
1,046;0,902;0,146;0,8;900;6;70
1,046;0,904;0,148;0,798;1000;6;70
1,046;0,904;0,15;0,798;1300;6;70
1,044;0,906;0,15;0,798;1500;6;70
1,046;0,906;0,15;0,798;1700;6;70
1,044;0,906;0,154;0,798;2000;6;70
1,044;0,894;0,154;0,804;100;7;70
1,04;0,9;0,16;0,798;300;7;70
1,042;0,902;0,162;0,794;500;7;70
1,042;0,904;0,158;0,8;700;7;70
1,046;0,906;0,154;0,8;900;7;70
1,046;0,908;0,156;0,8;1000;7;70
1,046;0,906;0,154;0,8;1300;7;70
1,046;0,906;0,152;0,8;1500;7;70
1,044;0,906;0,15;0,8;1700;7;70
1,044;0,906;0,15;0,8;2000;7;70
1,048;0,892;0,144;0,802;100;8;70
1,048;0,904;0,146;0,802;300;8;70
1,046;0,904;0,148;0,8;500;8;70
1,046;0,904;0,146;0,8;700;8;70
1,046;0,904;0,148;0,802;900;8;70
1,046;0,904;0,148;0,8;1000;8;70
1,046;0,906;0,148;0,8;1300;8;70
1,048;0,906;0,148;0,802;1500;8;70
1,048;0,906;0,148;0,802;1700;8;70
1,046;0,906;0,15;0,802;2000;8;70
1,06;0,896;0,126;0,814;100;9;70
1,054;0,904;0,138;0,808;300;9;70
1,054;0,904;0,142;0,806;500;9;70
1,05;0,908;0,14;0,804;700;9;70
1,054;0,908;0,138;0,804;900;9;70
1,052;0,908;0,14;0,804;1000;9;70
1,05;0,906;0,144;0,802;1300;9;70
1,05;0,906;0,142;0,802;1500;9;70
1,05;0,906;0,146;0,802;1700;9;70
1,05;0,908;0,144;0,802;2000;9;70
1,058;0,78;0,15;0,814;100;1;100
1,056;0,792;0,152;0,808;300;1;100
1,056;0,796;0,154;0,81;500;1;100
1,06;0,796;0,156;0,81;700;1;100
1,06;0,798;0,158;0,812;900;1;100
1,058;0,798;0,162;0,812;1000;1;100
