"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
6,002;0,902;0,102;4,806;500;8;70
6,01;0,902;0,102;4,818;700;8;70
6,006;0,902;0,102;4,818;900;8;70
6,014;0,902;0,1;4,816;1000;8;70
6,014;0,902;0,102;4,82;1300;8;70
6,014;0,902;0,1;4,822;1500;8;70
6,018;0,902;0,1;4,822;1700;8;70
6,016;0,904;0,1;4,818;2000;8;70
6,082;0,894;0,078;4,868;100;9;70
6,032;0,904;0,094;4,84;300;9;70
6,022;0,904;0,098;4,834;500;9;70
6,02;0,904;0,096;4,832;700;9;70
6,014;0,904;0,098;4,824;900;9;70
6,014;0,904;0,1;4,824;1000;9;70
6,014;0,904;0,098;4,826;1300;9;70
6,022;0,904;0,096;4,832;1500;9;70
6,016;0,904;0,096;4,828;1700;9;70
6,016;0,904;0,096;4,826;2000;9;70
6,08;0,762;0,08;4,872;100;1;100
6,022;0,776;0,1;4,832;300;1;100
6,024;0,778;0,098;4,826;500;1;100
6,024;0,78;0,098;4,826;700;1;100
6,024;0,778;0,1;4,824;900;1;100
6,02;0,78;0,1;4,824;1000;1;100
6,018;0,784;0,1;4,818;1300;1;100
6,016;0,784;0,1;4,816;1500;1;100
6,02;0,782;0,1;4,824;1700;1;100
6,016;0,782;0,102;4,816;2000;1;100
6,016;0,912;0,1;4,808;100;2;100
5,986;0,924;0,106;4,794;300;2;100
5,976;0,926;0,108;4,776;500;2;100
5,972;0,926;0,11;4,776;700;2;100
5,976;0,928;0,108;4,778;900;2;100
5,978;0,928;0,108;4,778;1000;2;100
5,97;0,928;0,11;4,776;1300;2;100
5,972;0,928;0,11;4,774;1500;2;100
5,978;0,928;0,108;4,774;1700;2;100
5,972;0,928;0,11;4,77;2000;2;100
5,94;0,93;0,122;4,756;100;3;100
5,954;0,936;0,116;4,756;300;3;100
5,944;0,936;0,118;4,746;500;3;100
5,954;0,936;0,114;4,754;700;3;100
5,946;0,938;0,116;4,752;900;3;100
5,952;0,938;0,116;4,758;1000;3;100
5,952;0,938;0,116;4,758;1300;3;100
5,956;0,938;0,114;4,758;1500;3;100
5,956;0,938;0,116;4,762;1700;3;100
5,958;0,938;0,11;4,768;2000;3;100
6,022;0,928;0,102;4,812;100;4;100
6,016;0,936;0,1;4,798;300;4;100
6,014;0,938;0,1;4,806;500;4;100
5,998;0,94;0,104;4,798;700;4;100
6;0,94;0,102;4,796;900;4;100
5,996;0,94;0,106;4,794;1000;4;100
5,988;0,94;0,106;4,784;1300;4;100
5,992;0,94;0,104;4,788;1500;4;100
5,992;0,94;0,106;4,788;1700;4;100
5,99;0,94;0,106;4,79;2000;4;100
6,058;0,93;0,096;4,852;100;5;100
5,998;0,94;0,108;4,798;300;5;100
5,996;0,94;0,108;4,792;500;5;100
5,996;0,94;0,106;4,794;700;5;100
5,998;0,94;0,104;4,794;900;5;100
5,994;0,94;0,104;4,788;1000;5;100
5,992;0,94;0,108;4,786;1300;5;100
5,99;0,94;0,108;4,784;1500;5;100
5,99;0,94;0,106;4,79;1700;5;100
5,99;0,94;0,104;4,792;2000;5;100
5,98;0,93;0,106;4,78;100;6;100
6,004;0,938;0,102;4,806;300;6;100
5,996;0,94;0,104;4,804;500;6;100
5,988;0,94;0,106;4,792;700;6;100
5,986;0,94;0,102;4,79;900;6;100
5,992;0,94;0,104;4,792;1000;6;100
5,998;0,94;0,102;4,798;1300;6;100
5,996;0,94;0,104;4,796;1500;6;100
5,994;0,94;0,104;4,798;1700;6;100
5,996;0,942;0,106;4,802;2000;6;100
5,984;0,928;0,108;4,78;100;7;100
5,972;0,94;0,112;4,772;300;7;100
5,99;0,94;0,112;4,78;500;7;100
5,994;0,94;0,108;4,792;700;7;100
5,996;0,94;0,108;4,794;900;7;100
5,998;0,94;0,108;4,794;1000;7;100
5,996;0,94;0,11;4,802;1300;7;100
6;0,94;0,106;4,802;1500;7;100
6;0,94;0,106;4,804;1700;7;100
6;0,94;0,106;4,8;2000;7;100
5,98;0,932;0,11;4,778;100;8;100
5,998;0,94;0,108;4,79;300;8;100
6;0,94;0,106;4,798;500;8;100
6;0,94;0,102;4,8;700;8;100
