"RMSE";"R2_adjusted_train";"R2_adjusted_test";"MAE";"ntree";"mtry";"nodesize"
2,968;0,66;0,084;2,396;900;3;30
2,97;0,662;0,084;2,394;1000;3;30
2,966;0,664;0,084;2,392;1300;3;30
2,968;0,664;0,084;2,394;1500;3;30
2,964;0,664;0,086;2,396;1700;3;30
2,966;0,666;0,086;2,396;2000;3;30
2,976;0,662;0,078;2,41;100;4;30
2,966;0,668;0,086;2,396;300;4;30
2,968;0,67;0,088;2,394;500;4;30
2,964;0,67;0,086;2,392;700;4;30
2,968;0,67;0,088;2,392;900;4;30
2,964;0,67;0,09;2,392;1000;4;30
2,966;0,67;0,088;2,392;1300;4;30
2,966;0,67;0,088;2,394;1500;4;30
2,966;0,674;0,086;2,394;1700;4;30
2,966;0,674;0,086;2,394;2000;4;30
2,96;0,67;0,09;2,372;100;5;30
2,964;0,68;0,086;2,39;300;5;30
2,972;0,68;0,082;2,396;500;5;30
2,968;0,678;0,086;2,398;700;5;30
2,97;0,68;0,084;2,398;900;5;30
2,97;0,68;0,084;2,398;1000;5;30
2,97;0,682;0,084;2,398;1300;5;30
2,972;0,68;0,084;2,398;1500;5;30
2,972;0,68;0,082;2,4;1700;5;30
2,974;0,68;0,08;2,4;2000;5;30
3,012;0,666;0,062;2,432;100;6;30
2,988;0,68;0,076;2,414;300;6;30
2,98;0,68;0,078;2,408;500;6;30
2,98;0,682;0,076;2,406;700;6;30
2,976;0,68;0,082;2,402;900;6;30
2,974;0,68;0,082;2,402;1000;6;30
2,974;0,68;0,082;2,402;1300;6;30
2,978;0,68;0,082;2,404;1500;6;30
2,978;0,68;0,08;2,404;1700;6;30
2,974;0,68;0,082;2,404;2000;6;30
2,976;0,672;0,076;2,402;100;7;30
2,978;0,682;0,078;2,402;300;7;30
2,978;0,684;0,078;2,406;500;7;30
2,98;0,682;0,08;2,406;700;7;30
2,978;0,686;0,078;2,406;900;7;30
2,978;0,684;0,078;2,406;1000;7;30
2,978;0,684;0,08;2,404;1300;7;30
2,976;0,684;0,08;2,404;1500;7;30
2,978;0,684;0,08;2,404;1700;7;30
2,98;0,684;0,08;2,406;2000;7;30
2,99;0,678;0,074;2,418;100;8;30
2,978;0,686;0,082;2,404;300;8;30
2,984;0,69;0,08;2,404;500;8;30
2,98;0,69;0,078;2,404;700;8;30
2,978;0,69;0,082;2,402;900;8;30
2,978;0,69;0,08;2,406;1000;8;30
2,98;0,69;0,078;2,406;1300;8;30
2,982;0,69;0,078;2,404;1500;8;30
2,98;0,69;0,076;2,404;1700;8;30
