"ID_2","Programme","Annee","ID_Site","Protocole","AB_tot","BM_tot","Richesse_tot","LC_","Long","Lat","Sand","Silt","Clay","pH","N","P","K","CN","CaCO3","C_org","tas_mean_3","tas_mean_6","tas_mean_120","tas_sd_3","tas_sd_6","tas_sd_120","tasmax_mean_3","tasmax_mean_6","tasmax_mean_120","tasmax_sd_3","tasmax_sd_6","tasmax_sd_120","tasmin_mean_3","tasmin_mean_6","tasmin_mean_120","tasmin_sd_3","tasmin_sd_6","tasmin_sd_120","pr_mean_3","pr_mean_6","pr_mean_120","pr_sd_3","pr_sd_6","pr_sd_120","pet_mean_3","pet_mean_6","pet_mean_120","pet_sd_3","pet_sd_6","pet_sd_120"
2295,"SBT-ENI-TB","2022","373","HS",129.166666666667,21.5,3,"Nial",3.10483924482,49.4980379348,27,56.8,16.2,7.44121313095093,1.63934803009033,49.9635543823242,253.829849243164,9.36142921447754,81.9046859741211,0.3,8.35000000000002,13.3,11.3031914893617,3.5,6.03580980482321,5.57026865875242,11.15,17.2833333333333,15.0829787234043,4.02864741569673,7.33012050833181,6.33689297188905,5.85,9.71666666666667,7.32659574468087,3.43947670438397,4.86894923640272,4.97530299573167,51.1133333333333,52.495,61.45375,17.4474191023582,14.4014454135687,29.1959561958442,67.1,47.4916666666667,76.1741860465116,24.3776967738956,26.5459145004776,42.1665484217083
2296,"SBT-ENI-TB","2019","288","HS",429.166666666667,NA,6,"Nial",2.41764067776,49.9431436421,16.5,61,22.5,7.47098541259766,1.86827492713928,55.6716079711914,279.001739501953,9.28765678405762,148.410354614258,0.5,5.61666666666669,8.68333333333336,11.1975,1.53079500042734,4.29123136951,5.38168325952785,8.45000000000003,12.2166666666667,14.7533333333334,2.30651251893417,5.37053690674096,6.11901476846516,2.31666666666668,5.35000000000001,7.37666666666669,1.55026879389781,3.95272058208015,4.8635798506435,58.5566666666667,50.2516666666667,60.9248333333333,37.5944947210803,26.7925179232312,32.1253191066343,27.3233333333333,40.6116666666667,70.9583333333333,7.49544750720951,23.1865542215023,40.489852600194
2297,"SBT-ENI-TB","2021","288","HS",37.5,NA,2,"Nial",2.41764067776,49.9431436421,16.5,61,22.5,7.47098541259766,1.86827492713928,55.6716079711914,279.001739501953,9.28765678405762,148.410354614258,0.5,8.71666666666668,13.35,11.4303738317757,3.36501609703926,5.66709802279791,5.2193840316892,11.45,17.1833333333334,15.0556074766355,3.85746030439718,6.88641174100609,5.96842053907601,6.15000000000002,9.86666666666668,7.62943925233647,3.29089653438087,4.6494802576919,4.72707453345722,46.6833333333333,48.7133333333333,61.9817821782178,13.7744884962504,17.914370395486,32.9794736888277,62.0733333333333,43.1533333333333,70.8086868686869,25.3039568710772,26.2253088955434,39.9675863477165
2298,"SBT-ENI-TB","2022","288","HS",566.666666666667,NA,5,"Nial",2.41764067776,49.9431436421,16.5,61,22.5,7.47098541259766,1.86827492713928,55.6716079711914,279.001739501953,9.28765678405762,148.410354614258,0.5,8.71666666666668,13.35,11.4787234042553,3.36501609703926,5.66709802279791,5.24780798766117,11.45,17.1833333333334,15.1095744680851,3.85746030439718,6.88641174100609,6.00095546422753,6.15000000000002,9.86666666666668,7.67765957446811,3.29089653438087,4.6494802576919,4.76768703091969,46.6833333333333,48.7133333333333,63.9356818181818,13.7744884962504,17.914370395486,31.4663428215651,62.0733333333333,43.1533333333333,71.0460465116279,25.3039568710772,26.2253088955434,40.0493230692317
2299,"SBT-ENI-TB","2019","198","HS",166.666666666667,NA,3,"Nial",2.4057975834,49.4306142515,28.8,54.9,16.4,7.80754470825195,1.92288899421692,51.3934288024902,302.070892333984,9.42055892944336,196.776519775391,0.4,5.45000000000003,8.61666666666669,11.2741666666667,1.55884572681198,4.45675517239467,5.58611718298791,8.38333333333335,12.4,14.9783333333334,2.45424801789332,5.74203796574004,6.33557626507994,2.11666666666669,5.13333333333335,7.27333333333335,1.71561456432772,4.01766930777866,4.96200239692756,57.84,46.1733333333333,55.1576666666667,26.7538015990251,27.0819620165649,28.69966982896,28.9033333333333,42.945,73.6154166666667,8.1335744499779,24.6027549270402,41.8425540477239
2300,"SBT-ENI-TB","2020","198","HS",179.166666666667,6.0225,4,"Nial",2.4057975834,49.4306142515,28.8,54.9,16.4,7.80754470825195,1.92288899421692,51.3934288024902,302.070892333984,9.42055892944336,196.776519775391,0.4,8.61666666666667,13.4833333333333,11.4927350427351,3.45880518869354,5.94429698674846,5.49506543902731,11.45,17.5,15.2440170940171,3.9509492530277,7.23456978679452,6.26362364271963,6.08333333333337,9.86666666666669,7.49017094017096,3.44286702231344,4.77594667753594,4.87709388858916,43.7,45.075,55.2291891891892,11.58,8.73123072653564,28.9758211472046,64.47,44.9616666666667,73.754128440367,25.5385649557684,26.8328123137823,41.5751248235584
2301,"SBT-ENI-TB","2021","198","HS",154.166666666667,16.1,4,"Nial",2.4057975834,49.4306142515,28.8,54.9,16.4,7.80754470825195,1.92288899421692,51.3934288024902,302.070892333984,9.42055892944336,196.776519775391,0.4,8.61666666666667,13.4833333333333,11.5985714285715,3.45880518869354,5.94429698674846,5.45271834616802,11.45,17.5,15.3776190476191,3.9509492530277,7.23456978679452,6.22131100514278,6.08333333333337,9.86666666666669,7.61285714285716,3.44286702231344,4.77594667753594,4.84363692707439,43.7,45.075,55.8371717171717,11.58,8.73123072653564,29.5678325294672,64.47,44.9616666666667,73.9980412371134,25.5385649557684,26.8328123137823,41.5796895190222
2302,"SBT-ENI-TB","2019","342","HS",112.5,NA,3,"Nial",2.71066539952,49.3083528831,62.5,24.5,13.1,7.39828634262085,1.63274323940277,45.0098838806152,262.764556884766,12.1188726425171,116.95401763916,0.5,6.55000000000003,7.80000000000003,11.7708333333334,2.65141471671258,3.06903893751774,5.74334683900992,9.85000000000002,11.2666666666667,15.45,3.45976877840122,4.05729795142859,6.49892040161707,2.7166666666667,4.46666666666669,7.77000000000002,2.20529665426975,2.91576176438793,5.08952788750067,42.9133333333333,49.16,51.9858333333333,5.42057500024982,20.5945798694705,27.875715873035,37.93,34.795,69.4471666666667,21.7609099074464,17.2557326706228,42.1239056498668
2303,"SBT-ENI-TB","2020","342","HS",141.666666666667,NA,4,"Nial",2.71066539952,49.3083528831,62.5,24.5,13.1,7.39828634262085,1.63274323940277,45.0098838806152,262.764556884766,12.1188726425171,116.95401763916,0.5,8.95000000000003,14,11.8676470588236,3.43947670438397,6.1353891482122,5.6827817111052,11.8166666666667,18.0666666666667,15.5928571428572,3.98789836045672,7.45074940302428,6.45466027186417,6.48333333333335,10.4,7.86932773109246,3.44286702231344,4.92249936515995,5.04599652201195,42.97,42.9416666666667,52.2165486725664,12.9360233456809,8.87075513508668,28.2471397341493,59.9533333333333,40.71,68.9944144144144,26.0494612868162,26.7901750647509,41.7262040772873
2304,"SBT-ENI-TB","2021","342","HS",29.1666666666667,3.73,4,"Nial",2.71066539952,49.3083528831,62.5,24.5,13.1,7.39828634262085,1.63274323940277,45.0098838806152,262.764556884766,12.1188726425171,116.95401763916,0.5,8.95000000000003,14,12.0490566037736,3.43947670438397,6.1353891482122,5.61152717152519,11.8166666666667,18.0666666666667,15.8254716981132,3.98789836045672,7.45074940302428,6.37487346385352,6.48333333333335,10.4,8.04905660377361,3.44286702231344,4.92249936515995,4.99638908247068,42.97,42.9416666666667,51.9659,12.9360233456809,8.87075513508668,28.5163351766859,59.9533333333333,40.71,69.6176530612245,26.0494612868162,26.7901750647509,41.7566079665013
2305,"SBT-ENI-TB","2019","412","HS",170.833333333333,NA,3,"Nial",2.51267250619,49.3809902987,50,39.4,10.6,7.60575485229492,1.62121891975403,53.5347290039062,288.617065429688,9.0644006729126,73.3846130371094,0.3,5.48333333333337,8.68333333333337,11.4208333333334,1.58850034099251,4.48939491097259,5.63791778467713,8.45000000000003,12.5,15.1183333333334,2.50599281722833,5.75907978760496,6.38729020715954,2.15000000000003,5.23333333333337,7.42666666666669,1.67032930884901,4.05631195381552,5.00310379854822,60.1,47.64,57.0079166666667,27.8417456349274,28.4343925554952,30.2513988535743,27.1366666666667,41.1066666666667,72.2395,8.12720329100567,24.4679371150628,42.1488795040316
2306,"SBT-ENI-TB","2020","412","HS",137.5,NA,4,"Nial",2.51267250619,49.3809902987,50,39.4,10.6,7.60575485229492,1.62121891975403,53.5347290039062,288.617065429688,9.0644006729126,73.3846130371094,0.3,8.75000000000004,13.65,11.6405982905983,3.43947670438397,5.97260412215643,5.54719536009869,11.55,17.65,15.390170940171,3.95094925302767,7.28477865140733,6.31308247335287,6.21666666666668,10.0333333333334,7.64572649572652,3.40342964277702,4.80849941943084,4.9189884221214,45.5966666666667,46.5316666666667,57.2261261261261,13.3141215757305,9.41939789300073,30.6791304597403,63.1533333333333,43.4383333333333,72.3797247706422,25.9031973573405,27.150392569292,41.8844535035843
2307,"SBT-ENI-TB","2021","412","HS",120.833333333333,NA,3,"Nial",2.51267250619,49.3809902987,50,39.4,10.6,7.60575485229492,1.62121891975403,53.5347290039062,288.617065429688,9.0644006729126,73.3846130371094,0.3,8.75000000000004,13.65,11.711320754717,3.43947670438397,5.97260412215643,5.49265432849429,11.55,17.65,15.4971698113208,3.95094925302767,7.28477865140733,6.25062598841748,6.21666666666668,10.0333333333334,7.72264150943399,3.40342964277702,4.80849941943084,4.88912365346102,45.5966666666667,46.5316666666667,57.2278,13.3141215757305,9.41939789300073,31.1873871352384,63.1533333333333,43.4383333333333,72.5028571428571,25.9031973573405,27.150392569292,41.7086424083354
2308,"SBT-ENI-TB","2022","412","HS",141.666666666667,NA,4,"Nial",2.51267250619,49.3809902987,50,39.4,10.6,7.60575485229492,1.62121891975403,53.5347290039062,288.617065429688,9.0644006729126,73.3846130371094,0.3,8.75000000000004,13.65,11.5931578947369,3.43947670438397,5.97260412215643,5.59906247151346,11.55,17.65,15.3647368421053,3.95094925302767,7.28477865140733,6.36146926058874,6.21666666666668,10.0333333333334,7.62789473684213,3.40342964277702,4.80849941943084,5.00145040553384,45.5966666666667,46.5316666666667,58.0533707865169,13.3141215757305,9.41939789300073,30.4048326729867,63.1533333333333,43.4383333333333,71.7528735632184,25.9031973573405,27.150392569292,41.8249017543723
2309,"SBT-ENI-TB","2019","396","HS",116.666666666667,NA,4,"Nial",2.12840234748,49.7473190945,19.3,61.6,19.1,7.16853427886963,1.84189343452454,48.4966239929199,266.701751708984,9.94864559173584,90.2956008911133,0.8,6.38333333333334,7.55000000000002,11.1425,2.55408170059875,2.87819387811176,5.36482728974004,9.51666666666671,10.8166666666667,14.7375,3.15647482697602,3.73827054487321,6.10276920887614,2.65000000000002,4.26666666666669,7.29250000000002,2.227105745132,2.74548113573317,4.81572463721843,49.68,57.4933333333333,58.4458333333333,9.1480216440496,24.4088530387371,29.770551762453,43.3066666666667,40.3483333333333,73.7941666666667,21.4138374266112,17.3491595377605,40.6035160663061
2310,"SBT-ENI-TB","2020","396","HS",100,13.925,4,"Nial",2.12840234748,49.7473190945,19.3,61.6,19.1,7.16853427886963,1.84189343452454,48.4966239929199,266.701751708984,9.94864559173584,90.2956008911133,0.8,8.65000000000003,13.2833333333334,11.3025423728814,3.34514573673555,5.66803904950086,5.2729224752326,11.4166666666667,17.1833333333333,14.9449152542373,3.8004385711827,6.92464198833893,6.02559849079276,6.08333333333337,9.78333333333337,7.4398305084746,3.3471380810079,4.66032902987189,4.75096732985165,44.23,46.955,58.2646428571429,10.0497960178304,9.09860593717521,29.9069333589113,64.7733333333333,45.785,73.7946363636364,24.9425025475258,26.1657797514234,40.1648789407521
2311,"SBT-ENI-TB","2021","396","HS",75,54.375,2,"Nial",2.12840234748,49.7473190945,19.3,61.6,19.1,7.16853427886963,1.84189343452454,48.4966239929199,266.701751708984,9.94864559173584,90.2956008911133,0.8,8.65000000000003,13.2833333333334,11.4132075471698,3.34514573673555,5.66803904950086,5.2123539234381,11.4166666666667,17.1833333333333,15.0896226415095,3.8004385711827,6.92464198833893,5.96361474347776,6.08333333333337,9.78333333333337,7.56603773584908,3.3471380810079,4.66032902987189,4.70084362828738,44.23,46.955,59.4496,10.0497960178304,9.09860593717521,30.7013201742929,64.7733333333333,45.785,74.0359183673469,24.9425025475258,26.1657797514234,40.0512866528651
2312,"SBT-ENI-TB","2022","396","HS",41.6666666666667,5.53125,2,"Nial",2.12840234748,49.7473190945,19.3,61.6,19.1,7.16853427886963,1.84189343452454,48.4966239929199,266.701751708984,9.94864559173584,90.2956008911133,0.8,8.65000000000003,13.2833333333334,11.4074468085107,3.34514573673555,5.66803904950086,5.24509990190952,11.4166666666667,17.1833333333333,15.0787234042553,3.8004385711827,6.92464198833893,6.00619075496589,6.08333333333337,9.78333333333337,7.56702127659577,3.3471380810079,4.66032902987189,4.74343095958607,44.23,46.955,60.7404545454545,10.0497960178304,9.09860593717521,28.6359208514307,64.7733333333333,45.785,73.7846511627907,24.9425025475258,26.1657797514234,40.0967693783771
