"Richesse_tot";"gps_x";"bio4";"bio7";"gps_y";"pH";"CaCO3";"bio18";"P";"CEC";"bio13";"N";"bio16";"hurs_mean";"bio10";"PET";"bio15";"elevation";"gdd10";"bio9";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
11;-0,756606519214549;-0,150716920373952;-0,109795619580747;-0,698238266425802;-1,11562038722977;-0,733239559290481;-0,599714861289908;-0,196971096870098;-1,04626735981058;0,640413459484666;0,892702970177794;0,820584938072626;0,394235828396238;0,181069772395539;1,01974404711836;0,822811349994796;-0,602404494789698;0,158917226802313;1,19505641907647;0;0;0;0;1;0
10;-0,758884889236787;-0,150716920373952;-0,109795619580747;-0,698552268165372;-1,11562038722977;-0,886724470409589;-0,599714861289908;0,0332127341701242;-1,02879190380756;0,640413459484666;1,46842975880554;0,820584938072626;0,394235828396238;0,181069772395539;1,01974404711836;0,822811349994796;-0,602404494789698;0,158917226802313;1,19505641907647;0;0;0;0;1;0
8;-0,758884889236787;-0,150716920373952;-0,109795619580747;-0,698552268165372;-1,11562038722977;-0,886724470409589;-0,599714861289908;0,0332127341701242;-1,02879190380756;0,640413459484666;1,46842975880554;0,820584938072626;0,394235828396238;0,181069772395539;1,01974404711836;0,822811349994796;-0,602404494789698;0,158917226802313;1,19505641907647;0;0;0;0;1;0
7;-0,811876664813767;-0,182746341755292;-0,0752556389221381;-0,910658311540856;1,71732899905531;1,0367323635759;-0,726855154271066;-0,384829216108258;1,22883808993024;0,691951694341298;0,825173589425924;0,866838780375122;-0,664730369174974;0,747057043012999;1,17948875436631;0,899110245973981;-0,602404494789698;0,913710074773241;1,32597925597637;0;0;0;0;1;0
6;-0,751112263753277;-0,112014702871501;-0,0752556389221381;-0,837751275688376;-0,549030509972751;-0,486113418952565;-0,514954665969137;-0,60877437886115;-0,292398733288852;1,07562522049623;1,47782181266613;1,20067085960183;-0,0822989605108029;0,534811816531472;1,02114531648018;1,02118847954068;-0,602404494789698;0,619196898126274;1,27688319213892;0;0;0;0;1;0
8;-0,751112263753277;-0,112014702871501;-0,0752556389221381;-0,837751275688376;-0,549030509972751;-0,486113418952565;-0,514954665969137;-0,60877437886115;-0,292398733288852;1,07562522049623;1,47782181266613;1,20067085960183;-0,0822989605108029;0,534811816531472;1,02114531648018;1,02118847954068;-0,602404494789698;0,619196898126274;1,27688319213892;0;0;0;0;1;0
7;-0,742173732123823;-0,136036768907506;-0,109795619580747;-0,800381195867121;-0,171303925134743;-0,124837580722151;-0,393868672653749;-0,456409024124042;-0,201920087387974;1,13861639643211;0,337220079991038;1,29518958082867;0,122875740268613;0,322566590049904;1,10662274755145;1,00592870034484;-0,602404494789698;0,326329046488508;1,22778712830145;0;0;0;0;1;0
5;-0,853480077639739;-0,28550740202042;-0,282495522873789;-0,63554961471507;-1,49334697206777;-1,03718622533986;-0,639067809117409;-0,209542494586402;-1,02765132862223;0,955369339164086;0,596117509703879;0,981467867820438;0,692070071463141;-0,0311754540860283;0,92305646115249;1,03644825873651;-0,602404494789698;-0,0483937243570054;1,145960355239;0;0;0;0;1;0
3;-0,853480077639739;-0,28550740202042;-0,282495522873789;-0,63554961471507;-1,49334697206777;-1,03718622533986;-0,639067809117409;-0,209542494586402;-1,02765132862223;0,955369339164086;0,596117509703879;0,981467867820438;0,692070071463141;-0,0311754540860283;0,92305646115249;1,03644825873651;-0,602404494789698;-0,0483937243570054;1,145960355239;0;0;0;0;1;0
8;-0,853603203055906;-0,28550740202042;-0,282495522873789;-0,6356952246824;-1,87107355690578;-1,03718622533986;-0,639067809117409;-0,209542494586402;-1,02765132862223;0,955369339164086;0,596117509703879;0,981467867820438;0,692070071463141;-0,0311754540860283;0,92305646115249;1,03644825873651;-0,602404494789698;-0,0483937243570054;1,145960355239;0;0;0;0;1;0
8;-0,853603203055906;-0,28550740202042;-0,282495522873789;-0,6356952246824;-1,87107355690578;-1,03718622533986;-0,639067809117409;-0,209542494586402;-1,02765132862223;0,955369339164086;0,596117509703879;0,981467867820438;0,692070071463141;-0,0311754540860283;0,92305646115249;1,03644825873651;-0,602404494789698;-0,0483937243570054;1,145960355239;0;0;0;0;1;0
