"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,005;2000;5;5;5,83;0,344975547313622;4,45119347729233
0,005;3000;5;5;5,79;0,354409495740057;4,42030444924857
0,01;1000;6;5;5,81;0,35091472537345;4,42763375049442
0,01;1500;6;5;5,77;0,358329850600122;4,3953200832889
0,01;1700;6;5;5,77;0,357701024054131;4,40978647383761
0,01;2000;6;5;5,77;0,357556139314308;4,41651104664649
0,01;3000;6;5;5,77;0,359250977866604;4,38912156693064
0,02;1000;6;5;5,78;0,355073404805315;4,4109457498589
0,02;1500;6;5;5,76;0,361660984156979;4,37434972074333
0,02;1700;6;5;5,8;0,352888907713443;4,43745744741494
0,02;2000;6;5;5,71;0,373604937742291;4,33704549169476
0,02;3000;6;5;5,82;0,353195974017825;4,41205640626897
0,05;1000;6;5;5,83;0,351261726196534;4,40820704558382
0,05;1500;6;5;5,94;0,332975755906381;4,51553768654367
0,05;1700;6;5;5,93;0,335945901228277;4,50386768888005
0,05;2000;6;5;5,93;0,338129850865702;4,504909760185
0,05;3000;6;5;6,02;0,32354821359154;4,57120701460842
0,001;1000;6;5;6,28;0,306733324939435;4,84415922551264
0,001;1500;6;5;6,14;0,313586335852153;4,71681730947751
0,001;1700;6;5;6,09;0,316434485019532;4,68205849537113
0,001;2000;6;5;6,04;0,320436753926846;4,63800786433226
0,001;3000;6;5;5,94;0,331015086920739;4,55001185614014
0,002;1000;6;5;6,04;0,320862382765504;4,63705040327001
0,002;1500;6;5;5,95;0,329065808911564;4,55395989209088
0,002;1700;6;5;5,92;0,333565530897832;4,53102134327259
0,002;2000;6;5;5,9;0,336920572640511;4,50782110473794
0,002;3000;6;5;5,85;0,342334423055382;4,46829458771533
0,005;1000;6;5;5,87;0,339327764160551;4,48614004327351
0,005;1500;6;5;5,83;0,347411588576094;4,43942778581747
0,005;1700;6;5;5,82;0,348974654462434;4,44124235290888
0,005;2000;6;5;5,8;0,351945292077662;4,42620461583523
0,005;3000;6;5;5,77;0,358774818647886;4,38798926865333
0,01;1000;8;5;5,77;0,358568725284002;4,38516308691766
0,01;1500;8;5;5,75;0,362072159348717;4,3762302458506
0,01;1700;8;5;5,74;0,365434552276582;4,3621906687688
0,01;2000;8;5;5,72;0,369652997052363;4,36584616673913
0,01;3000;8;5;5,76;0,361403324647537;4,37445873914505
0,02;1000;8;5;5,74;0,366131524011067;4,35703594013944
0,02;1500;8;5;5,75;0,363479063623134;4,36955154165389
0,02;1700;8;5;5,8;0,35309203113546;4,39978940665354
0,02;2000;8;5;5,78;0,360022517573564;4,36380684950645
0,02;3000;8;5;5,87;0,343697470019789;4,43710463285075
0,05;1000;8;5;5,89;0,337623828215432;4,45152429599325
0,05;1500;8;5;5,94;0,334640046304407;4,50369205204817
0,05;1700;8;5;5,93;0,339371484710311;4,507835973774
0,05;2000;8;5;5,95;0,335011070209246;4,5010779916381
0,05;3000;8;5;6,05;0,319404595052909;4,61384879412303
0,001;1000;8;5;6,23;0,317886541693597;4,80195271799342
0,001;1500;8;5;6,07;0,325849619879772;4,66296121767418
0,001;1700;8;5;6,03;0,329225718967937;4,62942453830451
0,001;2000;8;5;5,99;0,331274480337403;4,58978565990823
0,001;3000;8;5;5,9;0,339695179193979;4,50870373591129
0,002;1000;8;5;5,98;0,333362805858154;4,5853019392126
0,002;1500;8;5;5,89;0,340746540865634;4,50861684842334
0,002;1700;8;5;5,87;0,343777224052673;4,48344857610607
0,002;2000;8;5;5,85;0,344627749686431;4,46601380973666
0,002;3000;8;5;5,8;0,354515788542924;4,41912811701745
0,005;1000;8;5;5,82;0,351118257545072;4,43962744825738
0,005;1500;8;5;5,8;0,352691865497594;4,41596444016536
0,005;1700;8;5;5,77;0,357882130146721;4,39889514136817
0,005;2000;8;5;5,75;0,364035311608314;4,37511700362588
0,005;3000;8;5;5,75;0,362280455769342;4,37416775138694
0,01;1000;10;5;5,75;0,362545239585785;4,37486529708026
0,01;1500;10;5;5,73;0,367623834533254;4,34959889541834
0,01;1700;10;5;5,75;0,362870910525884;4,35802052792495
0,01;2000;10;5;5,74;0,365730765285423;4,35883232877815
0,01;3000;10;5;5,75;0,363893063122947;4,34989767436182
0,02;1000;10;5;5,74;0,365451868122779;4,35023547670075
0,02;1500;10;5;5,78;0,359762590384699;4,35309045107106
0,02;1700;10;5;5,78;0,358341944663763;4,36004681903752
0,02;2000;10;5;5,86;0,344105975443203;4,43140315285478
0,02;3000;10;5;5,86;0,347722672766554;4,44462828925147
0,05;1000;10;5;5,85;0,347960540573832;4,43252004943123
0,05;1500;10;5;5,86;0,348136986726688;4,38156108042066
0,05;1700;10;5;6,07;0,311795092546066;4,60915599404659
0,05;2000;10;5;6,01;0,327553514387182;4,57089394710842
0,05;3000;10;5;5,97;0,333490508260281;4,52193397102158
0,001;1000;10;5;6,2;0,326618920879693;4,76855546615927
0,001;1500;10;5;6,03;0,334884820584647;4,62631491531258
0,001;1700;10;5;5,99;0,33770145845127;4,58883363633867
0,001;2000;10;5;5,95;0,339267280991367;4,55183116765593
0,001;3000;10;5;5,86;0,347673020135109;4,47139512132141
0,002;1000;10;5;5,94;0,340776992740582;4,54763409981208
0,002;1500;10;5;5,85;0,348454621962569;4,46924204146736
0,002;1700;10;5;5,84;0,347642374535541;4,45978353100398
0,002;2000;10;5;5,82;0,352016685771487;4,43421034070179
0,002;3000;10;5;5,78;0,358318457465874;4,38567855583711
0,005;1000;10;5;5,81;0,352525982993581;4,42178500370315
0,005;1500;10;5;5,76;0,361740253324882;4,38064494976117
0,005;1700;10;5;5,74;0,3663840853476;4,37585595592267
0,005;2000;10;5;5,73;0,36787997751123;4,35315822824138
0,005;3000;10;5;5,73;0,366377656138907;4,36390141761254
0,01;1000;3;10;5,91;0,327469788563345;4,51214555738803
0,01;1500;3;10;5,88;0,334544145227484;4,48718373484408
0,01;1700;3;10;5,87;0,336747640041034;4,47545685848571
0,01;2000;3;10;5,83;0,345242821617049;4,45512694943909
0,01;3000;3;10;5,84;0,342132151968373;4,47165823716913
0,02;1000;3;10;5,87;0,335475089749716;4,48943940204428
0,02;1500;3;10;5,82;0,345717888032179;4,4619891773265
0,02;1700;3;10;5,82;0,347757211284073;4,44382080212589
0,02;2000;3;10;5,8;0,351749522225426;4,42664552073026
0,02;3000;3;10;5,81;0,350304229979572;4,45841232599994
0,05;1000;3;10;5,89;0,334530903137923;4,46678903967453
0,05;1500;3;10;5,84;0,344903201115581;4,47743224787648
0,05;1700;3;10;5,85;0,343882854205186;4,46046676031096
0,05;2000;3;10;5,83;0,34741718371264;4,42212087030572
0,05;3000;3;10;6;0,321318739215155;4,5813951695515
0,001;1000;3;10;6,44;0,268708577200061;4,97671288282552
0,001;1500;3;10;6,28;0,282529655379045;4,84883506349644
0,001;1700;3;10;6,25;0,284145396481959;4,81898201273464
0,001;2000;3;10;6,19;0,29019585980119;4,77304442782135
