"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,02;2000;6;5;1,98;0,515769727878558;1,5103195596039
0,02;3000;6;5;2;0,506078293475556;1,52709188414896
0,05;1000;6;5;2;0,505884373656131;1,51522938762308
0,05;1500;6;5;2,04;0,488141950581351;1,54783057590701
0,05;1700;6;5;2,03;0,492670940091447;1,53912704669708
0,05;2000;6;5;2,05;0,483146041178616;1,5584183959497
0,05;3000;6;5;2,08;0,470866492476926;1,58533647539087
0,001;1000;6;5;2,29;0,451366387789514;1,80990957965714
0,001;1500;6;5;2,19;0,463047576696489;1,72156524029326
0,001;1700;6;5;2,16;0,468570527632901;1,69468403746143
0,001;2000;6;5;2,13;0,47313475286609;1,66457886382838
0,001;3000;6;5;2,08;0,483614422399564;1,61047745430109
0,002;1000;6;5;2,14;0,471413765952742;1,66638551871854
0,002;1500;6;5;2,08;0,48477694497878;1,60818909851472
0,002;1700;6;5;2,07;0,487206474527535;1,59779497544756
0,002;2000;6;5;2,05;0,490193048263173;1,58771526017234
0,002;3000;6;5;2,03;0,498473134316857;1,56101655889492
0,005;1000;6;5;2,04;0,496359994130068;1,57163724867888
0,005;1500;6;5;2,02;0,502540236117363;1,54928702420216
0,005;1700;6;5;2;0,508079630467023;1,53450985947244
0,005;2000;6;5;2;0,508819231783997;1,53323246125323
0,005;3000;6;5;1,99;0,513951961747724;1,51863944552337
0,01;1000;8;5;2,01;0,505647484396129;1,53157642640294
0,01;1500;8;5;1,97;0,520247608545417;1,49740657456727
0,01;1700;8;5;1,98;0,516226015268517;1,50343265399394
0,01;2000;8;5;1,99;0,512584522272582;1,50841815602074
0,01;3000;8;5;1,97;0,519922479643832;1,49943175910616
0,02;1000;8;5;1,97;0,519594837435165;1,49755745174042
0,02;1500;8;5;1,98;0,516359381619395;1,49643109927919
0,02;1700;8;5;1,99;0,508604876986143;1,51183448453114
0,02;2000;8;5;1,98;0,513413414711204;1,5123930930233
0,02;3000;8;5;1,99;0,508176412242086;1,51774730531431
0,05;1000;8;5;2;0,50668318368545;1,51819884517391
0,05;1500;8;5;2,04;0,48807295568966;1,55361583680502
0,05;1700;8;5;2,08;0,465827272620053;1,57506719085031
0,05;2000;8;5;2,09;0,464506738490704;1,60246410286203
0,05;3000;8;5;2,07;0,476849326670625;1,58318013664584
0,001;1000;8;5;2,27;0,466958457696116;1,78637227019337
0,001;1500;8;5;2,16;0,478989706217134;1,69234709611732
0,001;1700;8;5;2,14;0,479825472609337;1,66957893673514
0,001;2000;8;5;2,11;0,485161499140995;1,63726791474836
0,001;3000;8;5;2,06;0,493036300765716;1,59097122276501
0,002;1000;8;5;2,11;0,484616338555227;1,64041691602768
0,002;1500;8;5;2,06;0,492071328349771;1,59142759487629
0,002;1700;8;5;2,04;0,498437661029999;1,57617677129087
0,002;2000;8;5;2,03;0,501231351716936;1,564475756865
0,002;3000;8;5;2,01;0,507245335000741;1,54301410385389
0,005;1000;8;5;2,02;0,50439189036165;1,55334962163514
0,005;1500;8;5;2,01;0,50521978980194;1,53798648711392
0,005;1700;8;5;1,99;0,51453305429838;1,52288976539178
0,005;2000;8;5;1,99;0,510794317799023;1,52477133290673
0,005;3000;8;5;1,98;0,519069612873019;1,50588794847724
0,01;1000;10;5;2;0,510341443278777;1,52221505095448
0,01;1500;10;5;1,97;0,523465582639418;1,4965400718663
0,01;1700;10;5;1,97;0,521141020828196;1,49977474011077
0,01;2000;10;5;1,97;0,52256601416998;1,48740610323479
0,01;3000;10;5;1,98;0,517746948998821;1,50924669665804
0,02;1000;10;5;1,98;0,51477096356929;1,50797442370791
0,02;1500;10;5;1,99;0,513347377068436;1,49895618923479
0,02;1700;10;5;2;0,508716345437773;1,51671521450688
0,02;2000;10;5;2,01;0,501361561440537;1,52732690236019
0,02;3000;10;5;2,03;0,492244069069072;1,54310528344162
0,05;1000;10;5;2,07;0,472032007952753;1,56483084761741
0,05;1500;10;5;2,05;0,482512690791632;1,56011700494828
0,05;1700;10;5;2,06;0,476938399649385;1,57063022226948
0,05;2000;10;5;2,1;0,461849504094414;1,59507609679524
0,05;3000;10;5;2,06;0,478129447174249;1,56842507125739
0,001;1000;10;5;2,25;0,479842821257709;1,76588019635242
0,001;1500;10;5;2,14;0,487869060947708;1,67200373747997
0,001;1700;10;5;2,12;0,491213714061463;1,64843555151523
0,001;2000;10;5;2,09;0,49515788796539;1,61790252834102
0,001;3000;10;5;2,04;0,501119863019272;1,57282013069759
0,002;1000;10;5;2,09;0,494838027982173;1,61878498006265
0,002;1500;10;5;2,04;0,502205687562264;1,5725261367238
0,002;1700;10;5;2,03;0,501893225186364;1,566234259871
0,002;2000;10;5;2,02;0,506703554678263;1,55098321943585
0,002;3000;10;5;1,99;0,513283404074364;1,52903587968751
0,005;1000;10;5;2;0,510581158840374;1,53943028927702
0,005;1500;10;5;1,99;0,513199022735024;1,5288250828992
0,005;1700;10;5;1,99;0,51468286789074;1,5187544936539
0,005;2000;10;5;1,98;0,517228722297628;1,50990877165094
0,005;3000;10;5;1,97;0,524160759056763;1,48976199769692
0,01;1000;3;10;2,05;0,487783103096401;1,5797733066195
0,01;1500;3;10;2,04;0,491696858221854;1,56730258055128
0,01;1700;3;10;2,04;0,488877052358627;1,56692173813386
0,01;2000;3;10;2,03;0,495209171467949;1,5537833743399
0,01;3000;3;10;2,02;0,495380195354711;1,5458030289869
0,02;1000;3;10;2,03;0,492803132130266;1,55078928177124
0,02;1500;3;10;2,03;0,493882075678567;1,54700740917355
0,02;1700;3;10;2,02;0,494058446853613;1,5438947215928
0,02;2000;3;10;2;0,505292212545222;1,52119171455176
0,02;3000;3;10;2,02;0,495639432688039;1,53733846533349
0,05;1000;3;10;2,03;0,490514430336355;1,54538500290784
0,05;1500;3;10;2,05;0,483439938553661;1,55537440310053
0,05;1700;3;10;2,05;0,481007594244597;1,55277995988018
0,05;2000;3;10;2,03;0,490198458469381;1,54453585298712
0,05;3000;3;10;2,05;0,483755048254053;1,5535258159295
0,001;1000;3;10;2,37;0,415602184489635;1,87079026843236
0,001;1500;3;10;2,27;0,428629586185261;1,79110083500415
0,001;1700;3;10;2,24;0,432215829325023;1,76762821632474
0,001;2000;3;10;2,21;0,439199871273779;1,73656969704132
0,001;3000;3;10;2,14;0,453803282011906;1,67088136658881
0,002;1000;3;10;2,21;0,437818387465805;1,73864431808454
0,002;1500;3;10;2,14;0,452975050203034;1,67116265004539
0,002;1700;3;10;2,13;0,456642321682736;1,65696630180887
0,002;2000;3;10;2,11;0,46106020604215;1,64261824463118
0,002;3000;3;10;2,08;0,472151529875769;1,61417653337734
0,005;1000;3;10;2,09;0,469262835388727;1,62448500398851
0,005;1500;3;10;2,06;0,481866243792341;1,59588260282727
0,005;1700;3;10;2,06;0,481654487922903;1,59184750091755
0,005;2000;3;10;2,06;0,482898007910135;1,5840471381035
0,005;3000;3;10;2,03;0,493449010346283;1,56312906933367
0,01;1000;5;10;2,02;0,497873991425865;1,55840534910623
0,01;1500;5;10;2,01;0,503154788968322;1,53220455561014
0,01;1700;5;10;2,01;0,504979285973622;1,52779040837497
0,01;2000;5;10;2;0,506284426979319;1,52766936299991
0,01;3000;5;10;1,99;0,513319010550516;1,50601517325579
0,02;1000;5;10;2,01;0,502121077151591;1,53051063684622
0,02;1500;5;10;2;0,506881495281668;1,51936329781567
0,02;1700;5;10;2;0,507080126567878;1,51287609406424
0,02;2000;5;10;2;0,50466068002826;1,51955209191175
0,02;3000;5;10;1,99;0,511709909238119;1,5091589972027
0,05;1000;5;10;2,02;0,496336282470026;1,53488907292905
0,05;1500;5;10;2,02;0,494817137249302;1,54264992207991
0,05;1700;5;10;2,03;0,490652311421062;1,54986722889996
0,05;2000;5;10;2,05;0,484300904593483;1,55758270969019
0,05;3000;5;10;2,09;0,464712001420234;1,58526582058259
0,001;1000;5;10;2,31;0,441409190784839;1,82543793650671
0,001;1500;5;10;2,21;0,455388276853257;1,73831854812091
0,001;1700;5;10;2,19;0,456263150638941;1,71529937391288
0,001;2000;5;10;2,15;0,464066916437079;1,68200911772636
0,001;3000;5;10;2,1;0,47527014341278;1,62596416592332
0,002;1000;5;10;2,16;0,461804510032231;1,68554955988881
0,002;1500;5;10;2,09;0,476591272057854;1,62346832401887
0,002;1700;5;10;2,08;0,479864219366935;1,61207151262836
0,002;2000;5;10;2,07;0,484617335826788;1,59908681853198
0,002;3000;5;10;2,04;0,492185988999305;1,5733950296397
0,005;1000;5;10;2,05;0,489541259680061;1,5849229740666
0,005;1500;5;10;2,03;0,497057676373723;1,55894538014348
0,005;1700;5;10;2,03;0,497323952367899;1,5579438176249
0,005;2000;5;10;2,02;0,501547833167774;1,54952772066129
0,005;3000;5;10;2;0,508415303777998;1,5285381925113
0,01;1000;6;10;2;0,506775159643292;1,53437096001065
0,01;1500;6;10;2;0,506497097836668;1,52569199691087
0,01;1700;6;10;1,99;0,509517438726555;1,51787448233482
0,01;2000;6;10;1,99;0,510897080732296;1,51845164941385
0,01;3000;6;10;1,98;0,515009706848066;1,50907678185086
0,02;1000;6;10;2;0,50753763620289;1,52201618125014
0,02;1500;6;10;2;0,506735245035634;1,51331824869596
0,02;1700;6;10;2;0,506820741436858;1,52555736087264
0,02;2000;6;10;1,99;0,508958836974241;1,51755263729365
0,02;3000;6;10;2,03;0,49177243167024;1,54563750248287
0,05;1000;6;10;1,98;0,514426511348905;1,50966393483261
0,05;1500;6;10;2,05;0,483167611851588;1,55635140247296
0,05;1700;6;10;2,07;0,473682582722026;1,56654175600074
0,05;2000;6;10;2,05;0,480820331780111;1,55875733937718
0,05;3000;6;10;2,09;0,466374420063487;1,58784010744191
0,001;1000;6;10;2,29;0,452235188049473;1,80895715160544
0,001;1500;6;10;2,19;0,465244980637658;1,71963754974709
0,001;1700;6;10;2,17;0,468014164225056;1,69400959993371
0,001;2000;6;10;2,14;0,471993839038418;1,66452516073351
0,001;3000;6;10;2,08;0,484473947268299;1,60782211898744
0,002;1000;6;10;2,14;0,471906429588582;1,66427766298342
0,002;1500;6;10;2,08;0,483911450833701;1,60896027836826
0,002;1700;6;10;2,07;0,486561265049086;1,59817156235476
0,002;2000;6;10;2,06;0,489483747130863;1,58803944740023
0,002;3000;6;10;2,03;0,498544066239039;1,56220648202464
0,005;1000;6;10;2,04;0,497173750012492;1,56869758892905
0,005;1500;6;10;2,02;0,503002318697906;1,5485234990087
0,005;1700;6;10;2,01;0,502657737819577;1,54451716249021
0,005;2000;6;10;2,01;0,505775903845181;1,5379911774456
0,005;3000;6;10;2;0,509701317575814;1,52493870454715
0,01;1000;8;10;2,01;0,50502709469358;1,53311114936469
0,01;1500;8;10;1,98;0,516735351813749;1,51373379024821
0,01;1700;8;10;1,98;0,516685600352177;1,50429579360761
0,01;2000;8;10;1,99;0,512799548735548;1,50880047059848
0,01;3000;8;10;2;0,508857887398281;1,51119674207149
0,02;1000;8;10;2,01;0,504573038386849;1,52469626683015
0,02;1500;8;10;1,98;0,515208906901569;1,50707028818706
0,02;1700;8;10;2,01;0,502440618707232;1,52579563286307
0,02;2000;8;10;2,02;0,497163542038399;1,53418721265163
0,02;3000;8;10;2,01;0,500499455747163;1,52979948407077
0,05;1000;8;10;2,03;0,489201389152682;1,55693038692016
0,05;1500;8;10;2,07;0,473796816878213;1,58457557162335
0,05;1700;8;10;2,09;0,463948316400258;1,58663528003278
0,05;2000;8;10;2,05;0,480177804585278;1,56073835564947
0,05;3000;8;10;2,09;0,462934154630053;1,60251796611519
0,001;1000;8;10;2,27;0,469768708403169;1,78285737988582
0,001;1500;8;10;2,17;0,477841683713726;1,69218947460503
0,001;1700;8;10;2,14;0,482607234447679;1,6655324434375
0,001;2000;8;10;2,11;0,48587248414694;1,63629902164125
0,001;3000;8;10;2,06;0,494491673808931;1,58755966517369
0,002;1000;8;10;2,11;0,484771100084168;1,63775710454872
0,002;1500;8;10;2,05;0,496135687435867;1,58540175005873
0,002;1700;8;10;2,04;0,496422097200486;1,57773323385414
0,002;2000;8;10;2,03;0,501817174754786;1,56295887107299
0,002;3000;8;10;2,01;0,50661318159057;1,5425059071902
0,005;1000;8;10;2,02;0,501958960428974;1,55587197584853
0,005;1500;8;10;2;0,508721283716247;1,53272327956909
0,005;1700;8;10;2;0,510684555743659;1,52893702979656
0,005;2000;8;10;2;0,509424360673329;1,52634362517038
0,005;3000;8;10;1,99;0,511546621307088;1,51790766409101
0,01;1000;10;10;1,99;0,511128932467367;1,51748529884945
0,01;1500;10;10;1,98;0,515401765781188;1,50358338244226
0,01;1700;10;10;1,98;0,514489750489164;1,5100903657766
0,01;2000;10;10;1,98;0,514485462051534;1,50767967721685
0,01;3000;10;10;2,01;0,502015570530574;1,52809660972409
0,02;1000;10;10;1,99;0,51315801754791;1,50661634825084
0,02;1500;10;10;2;0,506842783902519;1,52073911890816
0,02;1700;10;10;2,02;0,49622111817731;1,54028932391451
0,02;2000;10;10;1,99;0,5099832882237;1,51363670201123
0,02;3000;10;10;2,03;0,494187672527904;1,54963198277043
0,05;1000;10;10;2,02;0,498204984473796;1,54168744788057
0,05;1500;10;10;2,08;0,468404716209298;1,56855643767485
0,05;1700;10;10;2,07;0,470679385352549;1,58796503835008
0,05;2000;10;10;2,09;0,46626144994379;1,59077487534155
0,05;3000;10;10;2,09;0,466206051998207;1,60237330517468
0,001;1000;10;10;2,25;0,480392124002125;1,76630632714129
0,001;1500;10;10;2,15;0,48762473714424;1,67319125561123
0,001;1700;10;10;2,12;0,489539118463185;1,64894661583329
0,001;2000;10;10;2,09;0,494903750477168;1,6180668337797
0,001;3000;10;10;2,04;0,501851982284784;1,57109457270138
0,002;1000;10;10;2,09;0,493769165665872;1,61949093935258
0,002;1500;10;10;2,04;0,500599978592075;1,57259923869638
0,002;1700;10;10;2,03;0,502879858690886;1,56181655808331
0,002;2000;10;10;2,02;0,506063218031897;1,55030299752163
0,002;3000;10;10;2;0,512025511550048;1,53085989345301
0,005;1000;10;10;2;0,509708060249204;1,53700188371065
0,005;1500;10;10;1,99;0,512236739108566;1,5262360767861
0,005;1700;10;10;1,99;0,516139939945887;1,51494988785077
