"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,005;3000;5;5;3,46;0,28597188518551;2,67262433608005
0,01;1000;6;5;3,44;0,293004842958704;2,67112149966758
0,01;1500;6;5;3,45;0,290807042141939;2,66367812273715
0,01;1700;6;5;3,48;0,278395284302022;2,70054974043476
0,01;2000;6;5;3,44;0,292978883371269;2,66928925463527
0,01;3000;6;5;3,49;0,278223899430162;2,69457646722165
0,02;1000;6;5;3,46;0,286441479446781;2,67639393856172
0,02;1500;6;5;3,5;0,27435138632344;2,71713552495647
0,02;1700;6;5;3,49;0,278396261400548;2,70603399385247
0,02;2000;6;5;3,52;0,272863348845433;2,72891985704264
0,02;3000;6;5;3,55;0,26203240158071;2,74740102584203
0,05;1000;6;5;3,61;0,242679565338438;2,80784253906309
0,05;1500;6;5;3,59;0,251885718404149;2,79510105499644
0,05;1700;6;5;3,64;0,23691296787169;2,81411013583117
0,05;2000;6;5;3,66;0,231302559428693;2,81871058174578
0,05;3000;6;5;3,68;0,231041768270679;2,84433828306575
0,001;1000;6;5;3,61;0,267628962949291;2,80318261281985
0,001;1500;6;5;3,55;0,269783710937732;2,75242446968059
0,001;1700;6;5;3,53;0,274491473365898;2,73284891947718
0,001;2000;6;5;3,52;0,273214758298116;2,72465675318005
0,001;3000;6;5;3,48;0,28024871350615;2,6986059520163
0,002;1000;6;5;3,52;0,273981985702429;2,72081644116856
0,002;1500;6;5;3,48;0,281931699570476;2,69690322055189
0,002;1700;6;5;3,48;0,280302664730389;2,6954031167236
0,002;2000;6;5;3,46;0,284900259649875;2,68416097869243
0,002;3000;6;5;3,44;0,291185875492233;2,66878227694651
0,005;1000;6;5;3,44;0,29275400613793;2,67135199540822
0,005;1500;6;5;3,45;0,289221559330483;2,67030207342259
0,005;1700;6;5;3,44;0,29157304249205;2,66828418459673
0,005;2000;6;5;3,44;0,290708243341776;2,66414346135672
0,005;3000;6;5;3,46;0,28754797538678;2,67159002603416
0,01;1000;8;5;3,46;0,285502344174855;2,6835920980738
0,01;1500;8;5;3,46;0,286532177971923;2,686081149453
0,01;1700;8;5;3,46;0,286178183558953;2,67833329970355
0,01;2000;8;5;3,48;0,281199225363589;2,69806221857521
0,01;3000;8;5;3,53;0,266370519164646;2,73189111591658
0,02;1000;8;5;3,46;0,289155856116386;2,6879950137882
0,02;1500;8;5;3,51;0,275590142085573;2,71968733732697
