"mtry";"ntree";"maxnodes";"rmse";"r_squared";"mae"
10;1500;20;3,51040052366066;0,264686414024751;2,71236918074701
10;1700;20;3,51283718924008;0,263007899378466;2,71519642047142
10;2000;20;3,51031109295804;0,265242000267404;2,71306130308899
12;100;20;3,50720528650464;0,264963304199051;2,7181168395089
12;300;20;3,50542548913314;0,266415093226919;2,71169762577083
12;500;20;3,5019810175519;0,267389606337171;2,71068604783934
12;700;20;3,50428793864932;0,265606666662776;2,71226378283428
12;900;20;3,50938903701537;0,263124252360972;2,71326011106152
12;1000;20;3,51137528707835;0,262712105043454;2,71629365532947
12;1300;20;3,50315978285659;0,266515390028883;2,71175169525534
12;1500;20;3,50493393851598;0,265338204451318;2,7113575489457
12;1700;20;3,5063377962711;0,265082659223854;2,71173642896984
12;2000;20;3,50278818279921;0,266504482467425;2,70785287357046
14;100;20;3,52707888720021;0,254992523546397;2,72445849524035
14;300;20;3,51044198364763;0,262325804541987;2,7149713340625
14;500;20;3,50743224146352;0,263595160190303;2,71589997452675
14;700;20;3,50961026633653;0,262541857088379;2,71867552142343
14;900;20;3,50620905601959;0,264193593323925;2,71399405463129
14;1000;20;3,50249005274155;0,265934894327558;2,70993899407388
14;1300;20;3,50297588039755;0,265598417774305;2,71227059713307
14;1500;20;3,50719977623555;0,263643712818765;2,71376619781545
14;1700;20;3,50536375734577;0,264567060569671;2,71308183581166
14;2000;20;3,5058662978462;0,263915322194602;2,71478853148538
16;100;20;3,50751678196447;0,262829592009597;2,71478581721031
16;300;20;3,49992101489969;0,266110637980419;2,71111408247867
16;500;20;3,50372980303142;0,264277168766915;2,71179612249954
16;700;20;3,51151245588838;0,261250187191065;2,71400701474699
16;900;20;3,50101386653277;0,266216304952107;2,70703679279619
16;1000;20;3,50350298630881;0,264872322648086;2,71290594980629
16;1300;20;3,50644622649963;0,263254669265115;2,71494874149322
16;1500;20;3,50215006018933;0,265453391568924;2,70891982037296
16;1700;20;3,50413190987667;0,264413577943811;2,71292552219793
16;2000;20;3,5027331893541;0,265197063849611;2,71127737967371
18;100;20;3,50206372220622;0,265252601271816;2,7095774931339
18;300;20;3,50239765368797;0,26464124119294;2,70862032437847
18;500;20;3,50875810106416;0,261899728939497;2,71695593108046
18;700;20;3,50849038358776;0,262120643955601;2,71660624035822
18;900;20;3,50606193977249;0,263114054728629;2,71294342712024
