"BM_tot";"CaCO3";"gps_x";"P";"CEC";"sand";"gps_y";"CN";"hurs_mean";"pH";"N";"gdd10";"silt";"bio4";"clay";"bio3";"K";"bio12";"bio7";"gdd0";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
228,185416666667;42,3558921813965;2,244183;35,0419769287109;22,1592483520508;42,8;48,872766;13,1103658676147;622,2;7,2;1,74909448623657;1155;45;5,509;12,2;0,340000009536743;271,421661376953;646,1;22,3;4146,7;0;1;0;0;0;0
31,9616666666667;28,6432361602783;2,258431;37,1207160949707;18,5589199066162;52,2;48,876873;13,5828628540039;621;6;1,55280995368958;1142,6;35,6;5,49;12,1;0,339000010490418;323,716094970703;642,8;22,3;4128,5;0;1;0;0;0;0
38,6683333333333;40,9023361206055;2,444249;39,7112045288086;17,0496044158936;36,9;48,83779;11,4460353851318;623,9;6,9;1,46417021751404;1152;40,8;5,546;22,3;0,340000009536743;289,189117431641;685,4;22,5;4128,6;0;1;0;0;0;0
30,8620833333333;32,643798828125;2,429891;28,2659759521484;15,6145925521851;35,3;48,829212;13,0201587677002;621,6;6,1;1,51327919960022;1143,9;42,8;5,541;22;0,338000011444092;306,083435058594;668,4;22,5;4116,4;0;1;0;0;0;0
79,33625;32,643798828125;2,429891;28,2659759521484;15,6145925521851;35,3;48,829212;13,0201587677002;621,6;6,1;1,51327919960022;1143,9;42,8;5,541;22;0,338000011444092;306,083435058594;668,4;22,5;4116,4;0;1;0;0;0;0
6,75416666666667;32,643798828125;2,432393;28,2659759521484;15,6145925521851;35,3;48,8292;13,0201587677002;621,6;6,1;1,51327919960022;1143,9;42,8;5,541;22;0,338000011444092;306,083435058594;668,4;22,5;4116,4;0;1;0;0;0;0
10,38125;32,5179405212402;2,428023;32,9867515563965;16,6215133666992;38,2;48,831294;13,0003452301025;621,6;6,1;1,50481903553009;1143,9;40,9;5,541;20,9;0,338000011444092;299,103942871094;668,4;22,5;4116,4;0;1;0;0;0;0
234,39625;39,3628540039062;2,446684;33,6704444885254;16,720911026001;47,8;48,819272;13,5440902709961;621;6,4;1,43115341663361;1144;31,2;5,564;21;0,339000010490418;266,571258544922;668;22,5;4107,2;0;1;0;0;0;0
70,4370833333333;28,377233505249;2,271856;35,9628410339355;19,2535076141357;46,2;48,86712;14,7012300491333;620,4;5,8;1,5803394317627;1140,9;38,2;5,509;15,6;0,339000010490418;283,769897460938;642,3;22,3;4119,3;0;1;0;0;0;0
247,619166666667;83,7787094116211;2,940389;44,1805114746094;17,4864749908447;40,4;48,293448;9,45500755310059;624,4;7,1;1,65375900268555;1194,6;40,7;5,751;18,8;0,332999992370606;233,183380126953;709,7;23,1;4147,2;0;1;0;0;0;0
58,4075;46,7786026000977;2,69447461669526;34,9023818969727;13,7191591262817;80,8;48,4120512884727;13,8631286621094;628,4;5,7;1,83569014072418;1155,3;15,1;5,665;4;0,335999989509583;260,466217041016;723,5;23;4101,4;0;1;0;0;0;0
20,0591666666667;34,1137351989746;2,696923;36,5270462036133;15,1297149658203;78,3;48,401314;13,8358526229858;628;6,5;1,40992617607117;1176,5;16,4;5,695;5,3;0,333999991416931;314,204406738281;720,1;23,1;4132;0;1;0;0;0;0
40,4725;39,2590065002441;2,69958;39,3877792358398;17,2242565155029;65,4;48,488209;11,124927520752;623,2;6,6;1,65938949584961;1196,3;21,7;5,695;13;0,334999990463257;244,343612670898;689;23;4168,5;0;1;0;0;0;0
195,1;30,5669193267822;2,577266;34,9287223815918;17,6473007202148;63,4;48,52927;11,5714902877808;622,2;6,4;1,35815513134003;1202,5;26,1;5,669;10,4;0,334999990463257;259,517272949219;670,5;22,9;4186,6;0;1;0;0;0;0
89,0516666666667;30,5669193267822;2,577266;34,9287223815918;17,6473007202148;63,4;48,52927;11,5714902877808;622,2;6,4;1,35815513134003;1202,5;26,1;5,669;10,4;0,334999990463257;259,517272949219;670,5;22,9;4186,6;0;1;0;0;0;0
133,534583333333;40,7316627502441;2,679202;40,1490478515625;17,3523139953613;48,3;48,514455;11,9120988845825;622;6,9;1,49349319934845;1196,3;35,4;5,695;16,2;0,334999990463257;263,091522216797;682,9;23;4168,5;0;1;0;0;0;0
31,9316666666667;148,197372436523;2,829761;49,5225563049316;19,7643432617188;17;48,578942;9,69065475463867;626,4;7,2;1,61402225494385;1140,6;60,7;5,668;22,2;0,335999989509583;315,851470947266;724;22,9;4071;0;1;0;0;0;0
35,2458333333333;53,5347099304199;2,697522;42,0319290161133;15,4066066741943;79,6;48,412839;12,3409366607666;628,4;5,7;1,40249145030975;1155,3;16,5;5,665;3,8;0,335999989509583;279,562774658203;723,5;23;4101,4;0;1;0;0;0;0
125,37125;56,5118827819824;2,884423;47,245548248291;15,9076290130615;14,9;48,605646;9,64957332611084;627,6;6,9;1,53352212905884;1126,7;66,3;5,653;18,8;0,333999991416931;284,591400146484;727,3;22,9;4049,7;0;1;0;0;0;0
1,31416666666667;40,3292007446289;2,684341;27,2138423919678;11,6343574523926;84,1;48,411206;14,8331851959229;629,2;6;2,17301106452942;1135,9;12,3;5,665;3,6;0,336999988555908;233,66716003418;730,3;22,9;4064,9;1;0;0;0;0;0
