"Richesse_tot";"gps_x";"bio4";"bio7";"CaCO3";"pH";"gps_y";"elevation";"bio18";"CEC";"P";"N";"bio15";"hurs_mean";"bio13";"bio10";"bio16";"gdd10";"bio5";"PET";"clcm_lvl3mf";"clcm_lvl3gua";"clcm_lvl3ng";"clcm_lvl3nial";"clcm_lvl3p";"clcm_lvl3v"
2;5,89716545886677;6,712;30;236,867660522461;7,5;43,8681939080859;255,694000244141;125,2;18,3942565917969;20,3914947509766;1,84031355381012;31,3;574,3;86,9;22,2500000000001;255,1;1773,8;29,15;807,6;0;0;0;1;0;0
3;5,88741503911831;6,725;29,9;235,898178100586;7,8;43,9098668864817;255,694000244141;123,5;17,1252861022949;23,82004737854;1,84191286563873;31,4;574,4;87,2;22,05;253,5;1741,5;28,95;847,7;0;0;0;1;0;0
6;5,8344701475764;6,686;30,1;197,311172485352;7,3;43,7970824395985;255,694000244141;115,3;18,2079238891602;20,4325199127197;1,67952287197113;32,4;577,4;84,5;22,2500000000001;248,1;1783,4;29,2500000000001;828,6;0;0;0;1;0;0
6;5,10179643629596;6,198;24,5;100,835075378418;6,3;47,5799127418483;311,668518066406;217,1;22,2628040313721;22,8852081298828;2,54026079177856;13,3;630,6;90,1;18,7500000000001;248,5;1131,2;23,85;650;0;0;0;1;0;0
4;5,04717393971964;6,359;25,3;35,2706985473633;7,2;47,1957992046692;326,850250244141;201,3;19,4675598144531;43,5494537353516;1,70283055305481;14,7;615,7;83,9;19,7500000000001;224,1;1304,6;24,95;747,3;0;0;0;1;0;0
1;5,06663833293236;6,061;24;86,8379364013672;6,9;47,5679340248954;322,512603759766;220,4;23,3619003295898;48,9095191955566;2,3305127620697;13,2;629,7;91,8;17,95;252,2;996;23,05;746,6;0;0;0;1;0;0
4;5,0824732523999;6,134;24,3;76,8906402587891;7,1;47,4942069109443;318,174987792969;213,8;21,905969619751;48,2749671936035;2,1433584690094;13,9;625;90,9;18,45;243,6;1069,9;23,45;751,6;0;0;0;1;0;0
6;5,01865599630673;6,077;24,1;128,704208374023;7;47,5393061168736;333,356719970703;204,7;24,4989604949951;47,3214340209961;2,60993576049805;13,1;624,8;85,8;18,05;233;1018;23,15;767,4;0;0;0;1;0;0
5;5,21530701585991;6,298;25;51,064510345459;7,1;47,475568308636;283,473846435547;216,1;20,9145755767822;42,0445137023926;1,97647833824158;14,3;619,3;90,6;19,2500000000001;243,3;1223;24,45;746;0;0;0;1;0;0
2;5,06116805522774;6,216;24,7;141,43049621582;7,1;47,4440668397748;322,512603759766;225,7;22,3751201629639;42,5276031494141;2,3184826374054;13,9;627,4;95,9;18,7500000000001;254,5;1139,6;23,95;730,2;0;0;0;1;0;0
1;5,07904296471902;6,201;24,6;98,2530746459961;7,2;47,4556218647943;318,174987792969;222,7;22,0801334381104;47,5177459716797;1,91127777099609;14;624,8;94,6;18,65;251,5;1117,6;23,7500000000001;753,6;0;0;0;1;0;0
4;4,51471814481641;5,899;23,4;86,5314559936523;7,1;47,576679181874;375,213012695312;235,6;24,0891189575195;40,523796081543;2,96975684165955;10,3;638,7;95,3;17,95;270,4;1012,2;23,05;760,1;0;0;0;1;0;0
6;5,13551911032953;6,308;25,2;54,060173034668;7,3;47,3450467663378;302,993225097656;211,9;23,1249046325684;47,2772254943848;1,86271822452545;14,7;616,5;88,7;19,45;233,2;1262;24,7500000000001;752,5;0;0;0;1;0;0
5;5,15537608301105;6,326;25,1;38,3787498474121;7;47,3804350882884;298,655609130859;214,5;18,6795654296875;50,9312362670898;1,72571802139282;14,6;617,4;89,8;19,45;236,7;1262;24,65;745,8;0;0;0;1;0;0
3;5,35709823667918;6,287;24,8;57,6269760131836;6,8;47,5623474042448;281,519989013672;219,5;20,5773544311523;35,7248954772949;2,03768634796143;14,3;620,6;91,2;19,15;253,3;1203,7;24,2500000000001;718,1;0;0;0;1;0;0
4;5,52535276459195;6,278;25,2;28,4916820526123;6,7;46,7664779011602;444,355010986328;314,2;17,6756782531738;38,3180160522461;2,34685373306274;12,7;600,5;139,4;20,15;404,6;1405,4;25,15;776,3;0;0;0;0;0;1
5;5,61182884071361;6,303;25,2;132,328948974609;6,5;46,7541611042845;444,355010986328;328,9;25,3448352813721;28,2121810913086;2,93117022514343;11,7;605,1;143;20,05;422,7;1381,6;24,95;716,9;0;0;0;0;0;1
7;5,62325318699266;6,261;25;151,340438842773;6,5;46,7500081152023;444,355010986328;334,5;26,1495361328125;23,8985080718994;3,77594041824341;11,6;605,1;145,1;19,7500000000001;429,5;1319,9;24,55;740,7;0;0;0;0;0;1
4;5,62659176845217;6,154;24,7;151,340438842773;6,4;46,7547492779054;444,355010986328;344,7;26,1495361328125;23,8985080718994;3,77594041824341;11,5;603,7;149,3;18,95;442,3;1178,2;23,85;868,5;0;0;0;0;0;1
2;5,74284877542558;6,24;25;60,9402656555176;6,7;46,9016390831204;444,355010986328;321;23,7426052093506;39,9041061401367;3,10630488395691;11,4;602,2;138,5;19,55;410,8;1294,2;24,55;808,9;0;0;0;0;0;1
6;5,77957570656499;6,228;24,9;104,090759277344;6,8;46,9236971454303;444,355010986328;323,4;24,6768016815186;27,7856559753418;3,01455140113831;11,2;603;139,3;19,45;414,4;1268,1;24,35;777,9;0;0;0;0;0;1
4;5,69969835749893;6,243;25;57,4753227233887;6,1;46,8615360735866;444,355010986328;319,5;24,8222904205322;28,3529624938965;2,9883439540863;11,6;601,3;137,9;19,65;406,8;1299,8;24,55;817,5;0;0;0;0;0;1
7;5,53521300191461;6,24;25;14,8461885452271;6,5;46,7539777195046;444,355010986328;322,5;19,6354789733887;33,1682662963867;3,03958439826965;12,6;599,5;142,8;19,85;416;1346,5;24,85;810,9;0;0;0;0;0;1
6;5,59116158675751;6,229;25;108,280975341797;6,4;46,7082907702551;444,355010986328;345,1;24,2957725524902;29,3488998413086;2,69829201698303;11,8;605,6;150,6;19,65;446,8;1310,7;24,55;791,4;0;0;0;0;0;1
4;5,79652509391264;6,704;30,1;195,565155029297;7,6;43,7449151267479;255,694000244141;107;14,6989994049072;26,7894401550293;1,59186029434204;33,6;578,7;83,2;22,45;243,7;1823,4;29,45;871,6;0;0;0;1;0;0
0;4,94370163845552;6,332;25,2;108,807731628418;7,4;47,1329112502583;352,876098632812;207,4;16,7770195007324;42,5605201721191;1,77746379375458;14,7;619,2;87,2;19,55;236,1;1278,5;24,7500000000001;723,3;0;0;0;0;0;1
