"AB_tot";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
118,75;4,84212000023756;47,2994119960212;35;237;195;529;56,8615851593018;14,3;7,13;"OS_111";39;4;432;98,4;57,3415851593018;3,98827463388443
168,75;5,2189260005384;47,4698361690631;14;239;146;587;43,7863315963745;14,4;7,21;"OS_111";28;14;385;75,8;45,3463315963745;3,04606258869171
100;5,14955900032885;47,441190503721;59;337;242;201;17,4403938102722;15,2;4,85;"OS_111";220;161;579;30,2;17,5603938102722;1,14641487598419
112,5;5,10596015675859;47,1442426784815;149;342;329;136;18,529771566391;15,5;5,25;"OS_111";193;44;671;32,1;18,529771566391;1,19338989257812
168,75;5,30791016629726;47,1360598320713;88;208;94;596;74,3748357391357;10,8;7,72;"OS_111";102;14;302;129;83,6148357391357;6,88143074512482
131,25;4,94361133269274;47,5740873293352;16;378;160;423;44,5453747177124;15;7,29;"OS_111";39;23;538;77,1;46,7053747177124;2,96077191829681
131,25;5,17007150436755;47,6505799233371;47;339;134;237;74,6861422729492;11,3;7,81;"OS_111";290;243;473;129;112,366142272949;6,63622260093689
112,5;4,80599050033342;47,4142083344498;33;303;151;507;39,7466516494751;13,5;5,49;"OS_111";39;6;454;68,8;39,7466516494751;2,94326335191727
168,75;5,07078549948544;47,4623719968399;37;259;102;546;28,01363697052;10;8,1;"OS_214";93;56;361;48,5;40,61363697052;2,79335081577301
137,5;4,7776716664605;47,5177901697188;39;459;137;206;48,0460779953002;9,61;8,05;"OS_214";198;159;596;83,1;69,7660779953003;4,9977046251297
143,75;4,98116633296018;47,1471538309344;110;322;376;158;9,19;10,7;7,74;"OS_214";144;34;698;15,9;9,19056892395019;0,858336687088012
112,5;5,43636549019842;47,5909016900328;50;296;183;386;9,92;10,1;6,09;"OS_214";135;85;479;17,2;9,91840660572052;0,979475304484367
137,5;5,44769433322216;47,2490741674844;213;68;60;75;10,1;10,7;7,34;"OS_214";797;584;128;17,5;10,133718252182;0,941366702318191
93,75;5,14131399958814;47,3195984966858;115;257;125;438;36,1452011489868;9,68;8,07;"OS_214";180;65;382;62,5;43,7052011489868;3,73568505048751
93,75;4,82191533342729;47,2341425012271;119;238;251;319;21,7986389923095;10,3;8,14;"OS_214";192;73;489;37,7;38,1186389923095;2,11494162678718
175;4,69556316692478;47,2622309981389;187;297;170;310;12,9;12,1;7,25;"OS_214";223;36;467;22,3;12,9490447044372;1,06378853321075
156,25;4,73986783317791;47,4231415675912;72;447;134;293;38,9727827453613;10,2;7,86;"OS_214";126;54;581;67,4;42,3327827453613;3,80247324705123
168,75;5,14415700046572;47,4640531682008;83;254;139;426;23,9610640335083;10,4;8,25;"OS_214";181;98;393;41,5;58,2810640335083;2,30454385280609
150;5,16314649972842;47,4620508365918;16;265;129;572;21,7811897087097;10,1;7,89;"OS_214";34;18;394;37,7;22,5011897087097;2,15991362929344
