"BM_tot";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
29,93125;4,65142705473489;47,3234482716792;88;295;136;312;20,9762997055053;9,45;8,27;"OS_214";257;169;431;36,3;79,5362997055053;2,22031071782112
36,74375;5,12594416610213;47,4721531690896;57;276;138;418;30,6783242797851;11,4;8,28;"OS_214";168;111;414;53,1;68,1183242797851;2,69848644733428
24,525;4,82319783278099;47,5536968359011;76;279;119;181;20,174102897644;9,62;8,34;"OS_214";421;345;398;34,9;74,054102897644;2,09761157631874
26,0625;5,27799399948009;47,2805310032603;91;336;363;181;9,61;11,2;6,6;"OS_214";120;29;699;16,6;9,61;0,86
15,6375;5,01642986661576;47,534766335464;74;273;197;338;20,1;9,76;8,23;"OS_214";192;118;470;34,8;70,14;2,06
15,925;5,15245733282204;47,3422703356303;84;263;172;414;14,82;9,69;8,16;"OS_214";151;67;435;25,6;19,5;1,53
21,5;4,78576221625333;47,4039011408032;43;456;121;286;30,96;9,8;7,99;"OS_214";137;94;577;53,6;42,24;3,16
26,75625;5,29149083274755;47,0537816642993;77;363;320;172;8,15;9,61;6,57;"OS_214";145;68;683;14,1;8,15322518348694;0,848415940999985
16,45625;4,98646200036498;47,3629701626403;107;181;100;432;24,9303652572632;9,53;8,21;"OS_214";287;180;281;43,1;68,2503652572632;2,61670589447021
31,84375;5,1283160426463;47,5477138383518;91;337;166;264;23,9675293731689;9;8,12;"OS_214";233;142;503;41,5;103,887529373169;2,66391187906265
22,03125;5,35685866436399;47,4323459101271;50;374;279;274;13,3;9,45;7,25;"OS_214";73;23;653;23;13,3227360248566;1,4079438149929
18,875;5,34759656336407;47,4561756430107;53;435;312;165;10,2036075687408;9,76;7,77;"OS_214";88;35;747;17,7;10,4436075687408;1,04535587131977
26,69375;5,33039316697887;47,1391121697136;99;245;245;315;12,7168171977997;9,35;7,97;"OS_214";195;96;490;22;14,1568171977997;1,35977521538734
23,3;5,06127016661694;47,258614836854;45;363;219;338;12,3007733345032;9,51;8,07;"OS_214";80;35;582;21,3;14,1007733345032;1,29316508769989
24,00625;5,37955945914575;47,2649024996114;216;243;247;143;10,6;10,2;7;"OS_214";367;151;490;18,3;10,6200075149536;1,03575237095356
26,03125;5,45478283319505;47,2650383350149;213;58;38;70;4,65515285730362;10,5;5,94;"OS_214";834;621;96;8,05;4,65515285730362;0,443610176444054
15,71875;4,9257049999348;47,5368519670017;63;312;135;340;29,4663771057129;9,44;8,08;"OS_214";213;150;447;51;61,6263771057129;3,12177181243896
30,94375;5,20372733348553;47,2896416670557;41;282;142;418;23,4286978149414;9,63;8,18;"OS_214";158;117;424;40,5;41,1886978149414;2,43301153182983
28,8375;5,40907390396687;47,3866148211506;110;344;331;139;8,43723177909851;9,57;6,22;"OS_214";186;76;675;14,6;8,43723177909851;0,881819501519203
15,50625;5,189597166814;47,459793334195;30;339;211;398;14,5143020153046;9,68;7,22;"OS_214";52;22;550;25,1;14,5143020153046;1,49949789047241
35,10625;5,17923750042602;47,0525653358438;186;249;291;114;10,5703973770142;9,62;5,55;"OS_210";346;160;540;18,3;10,5703973770142;1,09914273023605
35,50625;5,34467333389241;47,3487058336858;61;288;226;404;40,9405899047852;10,5;6,24;"OS_210";82;21;514;70,8;40,9405899047852;3,88437777757645
29,7875;5,08279499965511;47,4462170040701;13;371;190;411;20,2592088127136;10,5;7,26;"OS_210";28;15;561;35;20,6192088127136;1,93245887756348
30,36875;5,44425933292599;47,3162661674636;19;311;46;615;41,3265999603272;10;6,16;"OS_210";28;9;357;71,5;41,4465999603271;4,11278039216995
16,0625;4,64669049950595;47,271796336967;38;358;160;420;36,8339810562134;9,8;6,88;"OS_210";62;24;518;63,7;37,3139810562134;3,7592750787735
22,55;5,14906797398298;47,6322808123284;21;279;103;593;53,2463528060913;9,38;6,77;"OS_210";25;4;382;92,1;53,6063528060913;5,67474007606506
17,6125;5,25041250040889;47,5773831690935;9;364;171;450;37,6594147872925;10,2;7,37;"OS_210";15;6;535;65,2;38,1394147872925;3,70346218347549
25,975;4,95551949965968;47,6132164994737;77;206;91;299;44,7412722015381;9,33;8,01;"OS_210";404;327;297;77,4;113,501272201538;4,79406774044037
23,51875;5,42741524608551;47,5147730075791;63;299;244;385;31,2951176261902;9,94;6,9;"OS_210";72;9;543;54,1;31,5351176261902;3,14846992492676
29,18125;4,81421850001126;47,5142464983503;99;325;176;250;48,952004776001;9,17;8,03;"OS_210";249;150;501;84,7;123,592004776001;5,34114062786102
36,88125;4,77526983370958;47,3490839955308;89;265;212;414;31,6577723312378;10,1;7,5;"OS_210";109;20;477;54,8;32,3777723312378;3,13893496990204
20,05;4,97351488108001;47,2524699530553;77;245;176;356;21,1068362426758;11,7;8,27;"OS_218";223;146;421;36,5;43,1868362426758;1,80879160761833
20;4,98385616720205;47,2453686706861;33;292;213;435;15,5488910579681;10;7,91;"OS_218";60;27;505;26,9;18,3088910579681;1,54860585927963
26,26875;4,99853983258678;47,288573163194;75;251;155;347;17,897483253479;10,5;8,25;"OS_218";247;172;406;31;51,497483253479;1,70463785529137
32,425;4,96783366738748;47,216706170677;65;238;153;400;18,8828254699707;10,9;8,18;"OS_218";209;144;391;32,7;36,2828254699707;1,7293980717659
33,05625;4,9667056665222;47,2437005009306;91;183;129;360;14,2015836715698;9,4;8,3;"OS_218";328;237;312;24,6;54,4015836715698;1,51108890771865
32,29375;4,84875800061389;47,1402040028867;195;187;219;249;12,9192770767211;10,6;8,34;"OS_218";345;150;406;22,4;55,0392770767211;1,21626012027263
34,36;4,98486483307266;47,3121186661992;120;230;130;424;18,5292866897583;9,97;8,27;"OS_218";216;96;360;32,1;77,2092866897583;1,85863837599754
15,855;4,98523166657051;47,3125476682743;142;238;142;397;18,9275909423828;9,88;8,22;"OS_218";223;81;380;32,7;81,3275909423828;1,91616281867027
53,98125;5,19876316691503;47,2806783368212;39;336;237;383;12,6604124355316;8,93;7,65;"OS_214";44;5;573;21,9;12,7804124355316;1,41806796193122
41,8875;5,1989275485075;47,2795665688724;44;370;271;307;12,112357263565;9,29;6,94;"OS_214";52;8;641;21;12,232357263565;1,30327507853508
53,7125;5,2055135888146;47,2747943438235;38;363;259;334;13,0846965312957;9,6;6,9;"OS_214";44;6;622;22,6;13,0846965312957;1,36301487684249
47,0375;5,20895872635101;47,2649046617311;36;336;217;363;17,2837751197814;9,4;8,11;"OS_214";84;48;553;29,9;24,0037751197814;1,83796271681785
39,725;5,21245680969797;47,2631348498879;32;329;224;406;18,0941660785675;9,21;7,77;"OS_214";41;9;553;31,3;19,0541660785675;1,96551442146301
57,1875;5,21432750005122;47,2672938372911;45;295;107;348;32,0278216934204;9,2;8,19;"OS_214";250;205;402;55,4;68,8678216934204;3,48226934671401
52,9125;5,22305071642091;47,2685240227499;40;310;195;340;21,747011642456;9,16;8,14;"OS_214";155;115;505;37,6;33,267011642456;2,37407594919204
52,0875;5,2275116667968;47,2676940027081;36;363;255;330;15,1502241039276;9,6;7,59;"OS_214";52;16;618;26,2;15,5102241039276;1,57870233058929
62,375;5,22947283324332;47,2644384971904;39;383;272;297;12,4185749340057;9,35;7,17;"OS_214";48;9;655;21,5;12,5385749340057;1,32819071412086
40,625;5,22524053001296;47,2700917034218;37;363;255;333;15,5852191543579;9,46;7,34;"OS_214";49;12;618;27;15,8252191543579;1,64815515279769
48,30625;5,22512649983532;47,2730353304696;37;383;278;289;12,126663570404;9,35;6,31;"OS_214";50;13;661;21;12,246663570404;1,29668176174163
52,35625;5,22705056803436;47,2810571371935;43;373;278;291;12,5696464824676;9,66;6,98;"OS_214";58;15;651;21,7;12,6896464824676;1,30136162042617
41,23125;5,20714998195518;47,2787232641224;47;260;153;405;32,1072397994995;9,86;8,18;"OS_210";182;135;413;55,5;52,0272397994995;3,25714111328125
42,6125;5,2205315079642;47,2673449987146;52;318;198;362;25,1784603881835;9,33;8,25;"OS_210";122;70;516;43,6;46,8984603881835;2,69930452108383
47,75625;4,5983490000311;47,2896984966688;71;307;155;306;20,4418775558472;10,2;8,23;"OS_111";232;161;462;35,4;73,2418775558472;2,01094135642052
47,4875;4,59624883346674;47,2898723299107;58;419;112;247;48,2087912750244;9,36;7,94;"OS_214";222;164;531;83,4;75,6887912750244;5,14937162399292
55,55;4,60456633331096;47,2860623298961;25;402;118;421;29,8062503433228;9,28;7,85;"OS_214";59;34;520;51,6;33,0462503433228;3,21239143610001
63,63125;4,59655716654917;47,2882895028223;41;378;112;318;35,0100441741943;9,51;8,06;"OS_214";192;151;490;60,6;63,9300441741943;3,68271768093109
44,15625;4,5991703334429;47,2862428326975;33;317;138;468;25,7180574417114;9,31;8;"OS_214";77;44;455;44,5;32,9180574417114;2,76273161172867
46,9;4,59539716668199;47,2762886683073;20;463;126;310;38,4419512557983;9,21;7,91;"OS_214";101;81;589;66,5;46,9619512557983;4,17408585548401
39,5375;4,59559355139844;47,2835118726675;53;273;119;364;29,3220506668091;9,58;8,06;"OS_214";244;191;392;50,7;70,7220506668091;3,05928379297256
53,1;4,59410433333651;47,2802626657633;35;289;147;511;22,9174368476868;9,91;6,93;"OS_214";53;18;436;39,6;23,1574368476868;2,31185033917427
50,725;4,5874554998176;47,2751021547316;51;351;166;416;20,5018433380127;10;7,15;"OS_214";67;16;517;35,5;20,6218433380127;2,04034596681595
48,2375;4,5964126673186;47,2804371694808;28;346;142;467;22,3944147872925;9,89;7,13;"OS_214";45;17;488;38,7;22,5144147872925;2,26443603634834
50,7125;4,59119547433158;47,2757606539309;26;485;135;298;45,4961722564697;10;7,91;"OS_214";82;56;620;78,7;50,1761722564697;4,54772531986237
