"Richesse";"Long";"Lat";"SableF";"LimonF";"LimonG";"Argile";"C_org";"C.N";"pH_eau";"OS";"Sables";"SableG";"Limons";"MO";"C_tot";"N_tot"
2;5,20372733348553;47,2896416670557;41;282;142;418;23,4286978149414;9,63;8,18;"OS_214";158;117;424;40,5;41,1886978149414;2,43301153182983
1,75;5,42808833343247;47,3838125011695;85;273;202;334;12,7190250015259;9,28;8,16;"OS_214";191;106;475;22;15,3590250015259;1,37025371193886
2;5,189597166814;47,459793334195;30;339;211;398;14,5143020153046;9,68;7,22;"OS_214";52;22;550;25,1;14,5143020153046;1,49949789047241
2;5,13818666723248;47,3919471679814;53;366;243;300;13,1685197353363;10;6,39;"OS_214";91;38;609;22,8;13,1685197353363;1,31513014435768
2;5,13011231600448;47,3982579803058;111;327;132;237;14,0033333333333;8,92;8,4;"OS_214";304;193;459;24,2;115,443333333333;1,57
2;4,64669049950595;47,271796336967;38;358;160;420;36,8339810562134;9,8;6,88;"OS_210";62;24;518;63,7;37,3139810562134;3,7592750787735
2;4,97688643173553;47,249200723689;82;267;194;407;14,3591539669037;11,2;8,32;"OS_218";132;50;461;24,8;19,8791539669037;1,28734037280083
1,75;4,95781972781542;47,1885708053149;60;268;143;416;24,5885985183716;10,8;8,15;"OS_218";173;113;411;42,5;46,3085985183716;2,27839395403862
2;4,99526749949542;47,2725231622711;77;244;167;379;33,0740548706055;13,8;7,96;"OS_218";210;133;411;57,2;54,9140548706055;2,39333391189575
1,75;4,9667056665222;47,2437005009306;91;183;129;360;14,2015836715698;9,4;8,3;"OS_218";328;237;312;24,6;54,4015836715698;1,51108890771865
2;4,83717966709073;47,1425000008645;121;218;143;336;20,9041180801391;10,4;8,24;"OS_218";303;182;361;36,2;48,3841180801391;2,00647294521331
2;4,84875800061389;47,1402040028867;195;187;219;249;12,9192770767211;10,6;8,34;"OS_218";345;150;406;22,4;55,0392770767211;1,21626012027263
1,75;4,96620766642679;47,3172148355624;98;192;114;449;21,1010958099365;10,6;8,29;"OS_218";245;147;306;36,5;66,4610958099365;1,98996782302856
2,5;5,20498738339323;47,2771876053979;36;360;227;344;14,7852387809753;9,25;8,13;"OS_214";69;33;587;25,6;18,7452387809753;1,59894615411758
2,25;5,22159046949297;47,2650756551301;50;322;102;355;29,6840072250366;8,49;8,2;"OS_214";221;171;424;51,4;64,1240072250366;3,49429249763488
2,25;5,22947283324332;47,2644384971904;39;383;272;297;12,4185749340057;9,35;7,17;"OS_214";48;9;655;21,5;12,5385749340057;1,32819071412086
2,25;5,21926401500061;47,2629371146043;71;318;111;303;30,4688372039794;9,45;8,21;"OS_210";268;197;429;52,7;77,0288372039794;3,22290569543838
2,25;4,5983490000311;47,2896984966688;71;307;155;306;20,4418775558472;10,2;8,23;"OS_111";232;161;462;35,4;73,2418775558472;2,01094135642052
2,5;4,60094432145603;47,2781058150258;42;295;92;343;32,0494738769531;9,84;8,06;"OS_214";270;228;387;55,4;61,9294738769531;3,25659155845642
2,5;4,60456633331096;47,2860623298961;25;402;118;421;29,8062503433228;9,28;7,85;"OS_214";59;34;520;51,6;33,0462503433228;3,21239143610001
2,25;4,5906392692573;47,2815228962795;53;246;142;392;26,6069919204712;9,67;8,06;"OS_214";220;167;388;46;60,4469919204712;2,75129586458206
2,25;4,59410433333651;47,2802626657633;35;289;147;511;22,9174368476868;9,91;6,93;"OS_214";53;18;436;39,6;23,1574368476868;2,31185033917427
2,5;4,59964333317219;47,2836394991539;28;325;136;497;23,1851818847656;9,66;7,64;"OS_214";42;14;461;40,1;23,9051818847656;2,40075021982193
2,25;4,5964126673186;47,2804371694808;28;346;142;467;22,3944147872925;9,89;7,13;"OS_214";45;17;488;38,7;22,5144147872925;2,26443603634834
